date,DXY Return (%),US10Y Percent Change,DXY Ret. Chg. ,US10Y Ret. Chg. ,Return 
04/01/2000,0.77,0.85,0,0,0
11/01/2000,1.05,1.98,0.36,1.33,0.85
18/01/2000,0.15,1.63,-0.86,-0.18,-0.52
25/01/2000,2.87,0.63,18.13,-0.61,8.76
01/02/2000,-0.47,-1.10,-1.16,-2.73,-1.95
08/02/2000,0.08,-1.44,-1.17,0.31,-0.43
15/02/2000,-0.13,0.40,-2.63,-1.27,-1.95
22/02/2000,0.66,-1.49,-6.08,-4.77,-5.43
29/02/2000,0.85,-1.65,0.29,0.11,0.20
07/03/2000,-0.62,0.13,-1.73,-1.08,-1.40
14/03/2000,-0.33,-0.63,-0.47,-5.99,-3.23
21/03/2000,0.29,-2.30,-1.88,2.67,0.40
28/03/2000,0.09,-0.87,-0.69,-0.62,-0.66
04/04/2000,0.13,-2.01,0.44,1.32,0.88
11/04/2000,0.43,-2.62,2.31,0.30,1.30
18/04/2000,1.08,1.50,1.51,-1.57,-0.03
25/04/2000,2.19,1.11,1.03,-0.26,0.38
02/05/2000,1.66,3.52,-0.24,2.18,0.97
09/05/2000,-0.8,4.04,-1.48,0.15,-0.67
16/05/2000,0.45,-0.49,-1.56,-1.12,-1.34
23/05/2000,-1.75,0.40,-4.89,-1.82,-3.35
30/05/2000,-1.52,-1.47,-0.13,-4.66,-2.39
06/06/2000,-0.46,-3.32,-0.70,1.26,0.28
13/06/2000,-0.6,-1.00,0.30,-0.70,-0.20
20/06/2000,1.67,-1.50,-3.78,0.50,-1.64
27/06/2000,-0.97,1.66,-1.58,-2.10,-1.84
04/07/2000,-0.05,-1.32,-0.95,-1.80,-1.37
11/07/2000,1.58,-0.25,-32.60,-0.81,-16.71
18/07/2000,-0.01,1.26,-1.01,-6.08,-3.54
25/07/2000,0.81,-0.88,-82.00,-1.70,-41.85
01/08/2000,1.12,-0.40,0.38,-0.55,-0.08
08/08/2000,0.25,-1.33,-0.78,2.35,0.78
15/08/2000,0.34,-2.66,0.36,1.00,0.68
22/08/2000,0,0.14,-1.00,-1.05,-1.03
29/08/2000,-0.04,-0.72,0.00,-6.24,-3.12
05/09/2000,3.55,-0.50,-89.75,-0.32,-45.03
12/09/2000,0.55,0.43,-0.85,-1.86,-1.35
19/09/2000,-1.67,1.22,-4.04,1.84,-1.10
26/09/2000,-0.24,0.62,-0.86,-0.49,-0.67
03/10/2000,0.9,-0.48,-4.75,-1.77,-3.26
10/10/2000,1.38,0.30,0.53,-1.63,-0.55
17/10/2000,0.99,-2.01,-0.28,-7.69,-3.99
24/10/2000,-0.25,-1.64,-1.25,-0.18,-0.72
31/10/2000,-1.33,1.45,4.32,-1.89,1.22
07/11/2000,0.01,1.61,-1.01,0.11,-0.45
14/11/2000,1.43,-0.03,142.00,-1.02,70.49
21/11/2000,-0.21,-2.00,-1.15,57.03,27.94
28/11/2000,-2.89,-1.26,12.76,-0.37,6.20
05/12/2000,0.51,-2.10,-1.18,0.66,-0.26
12/12/2000,-1.07,-2.87,-3.10,0.37,-1.37
19/12/2000,-1.99,-2.40,0.86,-0.17,0.35
26/12/2000,-1.14,-3.33,-0.43,0.39,-0.02
02/01/2001,-0.64,0.55,-0.44,-1.16,-0.80
09/01/2001,1.02,-1.30,-2.59,-3.39,-2.99
16/01/2001,0.25,3.57,-0.75,-3.74,-2.25
23/01/2001,1.39,0.53,4.56,-0.85,1.85
30/01/2001,-1.68,1.61,-2.21,2.04,-0.09
06/02/2001,1.18,-2.30,-1.70,-2.43,-2.07
13/02/2001,0.66,-1.97,-0.44,-0.14,-0.29
20/02/2001,0.76,1.28,0.15,-1.65,-0.75
27/02/2001,-1.09,-1.07,-2.43,-1.84,-2.13
06/03/2001,0.42,-2.72,-1.39,1.54,0.08
13/03/2001,2.85,-0.32,5.79,-0.88,2.45
20/03/2001,0.01,-2.44,-1.00,6.52,2.76
27/03/2001,1.85,0.50,184.00,-1.20,91.40
03/04/2001,-1.82,2.69,-1.98,4.39,1.20
10/04/2001,0.84,0.12,-1.46,-0.96,-1.21
17/04/2001,-1.21,4.61,-2.44,37.12,17.34
24/04/2001,0.94,0.56,-1.78,-0.88,-1.33
01/05/2001,-0.46,1.34,-1.49,1.40,-0.04
08/05/2001,1.58,-1.06,-4.43,-1.79,-3.11
