Date,GBPCAD,GBP/USD,GBP/EUR
01/02/2015,1.8024,1.5388,1.279
01/05/2015,1.7966,1.524,1.2767
01/06/2015,1.7885,1.517,1.2727
01/07/2015,1.7872,1.5063,1.2762
01/08/2015,1.7831,1.5082,1.2789
01/09/2015,1.7956,1.5148,1.2801
01/12/2015,1.8061,1.5137,1.281
01/13/2015,1.8106,1.5176,1.2881
01/14/2015,1.8193,1.5213,1.2907
01/15/2015,1.8074,1.5168,1.3091
01/16/2015,1.8096,1.5113,1.315
01/19/2015,1.8127,1.5158,1.3031
01/20/2015,1.8369,1.5195,1.3129
01/21/2015,1.8572,1.5116,1.3046
01/22/2015,1.8601,1.5086,1.3214
01/23/2015,1.8635,1.5026,1.336
01/26/2015,1.8716,1.5051,1.3372
01/27/2015,1.8842,1.5205,1.3335
01/28/2015,1.889,1.5179,1.3385
01/29/2015,1.8953,1.5077,1.3299
01/30/2015,1.9037,1.5018,1.3309
02/02/2015,1.8925,1.5035,1.3256
02/03/2015,1.8876,1.5114,1.3201
02/04/2015,1.9125,1.5215,1.3317
02/05/2015,1.899,1.5286,1.3376
02/06/2015,1.9069,1.5269,1.346
02/09/2015,1.8994,1.524,1.3444
02/10/2015,1.9104,1.526,1.3476
02/11/2015,1.9318,1.5266,1.3504
02/12/2015,1.9215,1.5363,1.3509
02/13/2015,1.9166,1.5393,1.3499
02/16/2015,1.9198,1.5379,1.3486
02/17/2015,1.9058,1.5336,1.3451
02/18/2015,1.9205,1.5447,1.3597
02/19/2015,1.9322,1.5439,1.3556
02/20/2015,1.9236,1.5374,1.3523
02/23/2015,1.9435,1.5449,1.3605
02/24/2015,1.9452,1.5459,1.3637
02/25/2015,1.927,1.5488,1.3637
02/26/2015,1.9246,1.541,1.3742
02/27/2015,1.9292,1.5451,1.3775
03/02/2015,1.9242,1.5362,1.3723
03/03/2015,1.9149,1.5372,1.3743
03/04/2015,1.9021,1.5269,1.3794
03/05/2015,1.9019,1.5237,1.3812
03/06/2015,1.8971,1.5061,1.3868
03/09/2015,1.9019,1.5096,1.3918
03/10/2015,1.906,1.5085,1.4089
03/11/2015,1.9076,1.4945,1.4134
03/12/2015,1.8919,1.4905,1.4043
03/13/2015,1.8892,1.4755,1.4022
03/16/2015,1.8891,1.48,1.3995
03/17/2015,1.8828,1.4743,1.3902
03/18/2015,1.8757,1.4686,1.3799
03/19/2015,1.8768,1.4727,1.3866
03/20/2015,1.8794,1.4922,1.3828
03/23/2015,1.8694,1.4936,1.3668
03/24/2015,1.8603,1.4868,1.3633
03/25/2015,1.8666,1.4915,1.3576
03/26/2015,1.8509,1.4843,1.3594
03/27/2015,1.8715,1.4878,1.3661
03/30/2015,1.8799,1.4806,1.367
03/31/2015,1.8805,1.4847,1.3821
04/01/2015,1.8733,1.4816,1.3773
04/02/2015,1.8652,1.4828,1.363
04/07/2015,1.8555,1.4868,1.3693
04/08/2015,1.8703,1.4924,1.383
04/09/2015,1.8577,1.4737,1.3803
04/10/2015,1.8435,1.4651,1.3792
04/13/2015,1.8447,1.4642,1.3846
04/14/2015,1.8434,1.479,1.383
04/15/2015,1.8326,1.4766,1.3918
04/16/2015,1.8227,1.4899,1.3923
04/17/2015,1.8281,1.4961,1.3884
04/20/2015,1.8195,1.4915,1.3869
04/21/2015,1.8326,1.4933,1.3902
04/22/2015,1.8424,1.5036,1.4022
04/23/2015,1.8306,1.5054,1.3936
04/24/2015,1.846,1.5165,1.3959
04/27/2015,1.8401,1.5211,1.3977
04/28/2015,1.8436,1.5324,1.3954
04/29/2015,1.8486,1.5454,1.3859
04/30/2015,1.8615,1.5368,1.372
05/01/2015,1.846,1.5177,1.3527
05/05/2015,1.8239,1.5193,1.3581
05/06/2015,1.825,1.5248,1.343
05/07/2015,1.847,1.52,1.3498
05/08/2015,1.8715,1.5422,1.3743
05/11/2015,1.8811,1.5562,1.3959
05/12/2015,1.8789,1.5663,1.3926
05/13/2015,1.8842,1.5729,1.3857
05/14/2015,1.8854,1.5759,1.3847
05/15/2015,1.8959,1.5789,1.3804
05/18/2015,1.9022,1.5682,1.3799
05/19/2015,1.899,1.5507,1.3934
05/20/2015,1.9016,1.5556,1.4006
05/21/2015,1.9141,1.5666,1.4088
05/22/2015,1.9038,1.5501,1.4057
05/26/2015,1.9105,1.5384,1.4116
05/27/2015,1.9134,1.5332,1.4092
05/28/2015,1.912,1.5292,1.4006
05/29/2015,1.904,1.5261,1.392
06/01/2015,1.9074,1.5207,1.3955
06/02/2015,1.9072,1.5329,1.3774
06/03/2015,1.9084,1.5331,1.3609
06/04/2015,1.9152,1.5365,1.3618
06/05/2015,1.9009,1.5241,1.3721
06/08/2015,1.9015,1.5274,1.3629
06/09/2015,1.8886,1.5317,1.3622
06/10/2015,1.9053,1.5541,1.3749
06/11/2015,1.9063,1.5493,1.3792
06/12/2015,1.9152,1.5568,1.3815
06/15/2015,1.9171,1.5542,1.3811
06/16/2015,1.9274,1.5627,1.3908
06/17/2015,1.9353,1.571,1.3986
06/18/2015,1.937,1.5881,1.3927
06/19/2015,1.9507,1.5884,1.4019
06/22/2015,1.9423,1.5819,1.3879
06/23/2015,1.9403,1.5729,1.4063
06/24/2015,1.9488,1.572,1.4057
06/25/2015,1.9419,1.5724,1.4049
06/26/2015,1.9479,1.5729,1.4122
06/29/2015,1.9493,1.5744,1.4119
06/30/2015,1.9635,1.5729,1.4118
