DATE,FED,BOE,BOC
07/01/2015,0.11,0.5,1.25
14/01/2015,0.12,0.5,1.25
21/01/2015,0.13,0.5,1
28/01/2015,0.12,0.5,1
04/02/2015,0.09,0.5,1
11/02/2015,0.12,0.5,1
18/02/2015,0.12,0.5,1
25/02/2015,0.12,0.5,1
04/03/2015,0.09,0.5,1
11/03/2015,0.12,0.5,1
18/03/2015,0.11,0.5,1
25/03/2015,0.12,0.5,1
01/04/2015,0.11,0.5,1
08/04/2015,0.12,0.5,1
15/04/2015,0.12,0.5,1
22/04/2015,0.13,0.5,1
29/04/2015,0.13,0.5,1
06/05/2015,0.12,0.5,1
13/05/2015,0.13,0.5,1
20/05/2015,0.13,0.5,1
27/05/2015,0.13,0.5,1
03/06/2015,0.1,0.5,1
10/06/2015,0.13,0.5,1
17/06/2015,0.13,0.5,1
24/06/2015,0.13,0.5,1
01/07/2015,0.12,0.5,1
08/07/2015,0.13,0.5,1
15/07/2015,0.13,0.5,0.75
22/07/2015,0.13,0.5,0.75
29/07/2015,0.13,0.5,0.75
05/08/2015,0.11,0.5,0.75
12/08/2015,0.14,0.5,0.75
19/08/2015,0.15,0.5,0.75
26/08/2015,0.15,0.5,0.75
02/09/2015,0.13,0.5,0.75
09/09/2015,0.14,0.5,0.75
16/09/2015,0.14,0.5,0.75
23/09/2015,0.14,0.5,0.75
30/09/2015,0.12,0.5,0.75
07/10/2015,0.13,0.5,0.75
14/10/2015,0.13,0.5,0.75
21/10/2015,0.13,0.5,0.75
28/10/2015,0.12,0.5,0.75
04/11/2015,0.1,0.5,0.75
11/11/2015,0.12,0.5,0.75
18/11/2015,0.12,0.5,0.75
25/11/2015,0.12,0.5,0.75
02/12/2015,0.12,0.5,0.75
09/12/2015,0.13,0.5,0.75
16/12/2015,0.14,0.5,0.75
23/12/2015,0.37,0.5,0.75
30/12/2015,0.36,0.5,0.75
06/01/2016,0.27,0.5,0.75
13/01/2016,0.36,0.5,0.75
20/01/2016,0.36,0.5,0.75
27/01/2016,0.38,0.5,0.75
03/02/2016,0.34,0.5,0.75
10/02/2016,0.38,0.5,0.75
17/02/2016,0.38,0.5,0.75
24/02/2016,0.38,0.5,0.75
02/03/2016,0.36,0.5,0.75
09/03/2016,0.36,0.5,0.75
16/03/2016,0.36,0.5,0.75
23/03/2016,0.37,0.5,0.75
30/03/2016,0.37,0.5,0.75
06/04/2016,0.35,0.5,0.75
13/04/2016,0.37,0.5,0.75
20/04/2016,0.37,0.5,0.75
27/04/2016,0.37,0.5,0.75
04/05/2016,0.34,0.5,0.75
11/05/2016,0.37,0.5,0.75
18/05/2016,0.37,0.5,0.75
25/05/2016,0.37,0.5,0.75
01/06/2016,0.36,0.5,0.75
08/06/2016,0.37,0.5,0.75
15/06/2016,0.37,0.5,0.75
22/06/2016,0.38,0.5,0.75
29/06/2016,0.4,0.5,0.75
06/07/2016,0.39,0.5,0.75
13/07/2016,0.4,0.5,0.75
20/07/2016,0.4,0.5,0.75
27/07/2016,0.4,0.5,0.75
03/08/2016,0.36,0.5,0.75
10/08/2016,0.4,0.25,0.75
17/08/2016,0.4,0.25,0.75
24/08/2016,0.4,0.25,0.75
31/08/2016,0.39,0.25,0.75
07/09/2016,0.4,0.25,0.75
14/09/2016,0.4,0.25,0.75
21/09/2016,0.4,0.25,0.75
28/09/2016,0.4,0.25,0.75
05/10/2016,0.35,0.25,0.75
12/10/2016,0.4,0.25,0.75
19/10/2016,0.41,0.25,0.75
26/10/2016,0.41,0.25,0.75
02/11/2016,0.4,0.25,0.75
09/11/2016,0.41,0.25,0.75
16/11/2016,0.41,0.25,0.75
23/11/2016,0.41,0.25,0.75
30/11/2016,0.4,0.25,0.75
07/12/2016,0.41,0.25,0.75
14/12/2016,0.41,0.25,0.75
21/12/2016,0.66,0.25,0.75
28/12/2016,0.66,0.25,0.75
04/01/2017,0.6,0.25,0.75
11/01/2017,0.66,0.25,0.75
18/01/2017,0.66,0.25,0.75
25/01/2017,0.66,0.25,0.75
01/02/2017,0.65,0.25,0.75
08/02/2017,0.66,0.25,0.75
15/02/2017,0.66,0.25,0.75
22/02/2017,0.66,0.25,0.75
01/03/2017,0.65,0.25,0.75
08/03/2017,0.66,0.25,0.75
15/03/2017,0.66,0.25,0.75
22/03/2017,0.91,0.25,0.75
29/03/2017,0.91,0.25,0.75
05/04/2017,0.87,0.25,0.75
12/04/2017,0.91,0.25,0.75
19/04/2017,0.91,0.25,0.75
26/04/2017,0.91,0.25,0.75
03/05/2017,0.88,0.25,0.75
10/05/2017,0.91,0.25,0.75
17/05/2017,0.91,0.25,0.75
24/05/2017,0.91,0.25,0.75
31/05/2017,0.9,0.25,0.75
07/06/2017,0.91,0.25,0.75
