date,Open,High,Low,Close,Return (%),Security
04/01/2000,101.669998,101.830002,99.709999,100.800003,-0.86,DXY
11/01/2000,100.699997,101.970001,100.239998,101.720001,1,DXY
18/01/2000,101.809998,102.110001,101.120003,101.760002,-0.05,DXY
25/01/2000,102.230003,104.739998,101.839996,104.480003,2.15,DXY
01/02/2000,104.449997,105.360001,103.419998,104.290001,-0.15,DXY
08/02/2000,104.300003,104.910004,103.360001,104.190002,-0.11,DXY
15/02/2000,104.199997,105.080002,103.669998,104.629997,0.41,DXY
22/02/2000,104.389999,105.5,102.919998,105.260002,0.83,DXY
29/02/2000,105.279999,106.860001,104.589996,106,0.68,DXY
07/03/2000,106.209999,106.610001,105.220001,105.709999,-0.47,DXY
14/03/2000,105.760002,105.889999,104.839996,105.199997,-0.53,DXY
21/03/2000,105.32,106.339996,104.650002,104.769997,-0.52,DXY
28/03/2000,104.669998,106.519997,104.480003,105.440002,0.73,DXY
04/04/2000,105.610001,106.18,104.230003,105.970001,0.34,DXY
11/04/2000,106.080002,106.419998,105.480003,105.75,-0.31,DXY
18/04/2000,105.300003,107.550003,104.959999,107.449997,2,DXY
25/04/2000,107.080002,110.32,106.779999,110.139999,2.78,DXY
02/05/2000,109.900002,112.230003,109.510002,111.309998,1.27,DXY
09/05/2000,111.309998,111.860001,109.800003,109.900002,-1.28,DXY
16/05/2000,109.910004,112.860001,109.809998,111.470001,1.4,DXY
23/05/2000,111.480003,111.970001,109,109.120003,-2.16,DXY
30/05/2000,109.029999,109.519997,107.400002,108.120003,-0.84,DXY
06/06/2000,107.809998,108.040001,105.559998,106.989998,-0.77,DXY
13/06/2000,107.059998,107.370003,105.919998,105.959999,-1.04,DXY
20/06/2000,106,108.199997,105.589996,108.010002,1.86,DXY
27/06/2000,108.059998,108.639999,106.370003,106.839996,-1.14,DXY
04/07/2000,106.82,107.690002,106.699997,107.650002,0.77,DXY
11/07/2000,107.529999,108.93,106.779999,108.449997,0.85,DXY
18/07/2000,108.32,109.919998,108.290001,108.419998,0.09,DXY
25/07/2000,108.510002,109.870003,107.830002,109.739998,1.12,DXY
01/08/2000,109.760002,111.650002,109.349998,110.849998,0.98,DXY
08/08/2000,110.849998,111.709999,110.290001,111.209999,0.32,DXY
15/08/2000,111.209999,111.589996,110.099998,111.010002,-0.18,DXY
22/08/2000,110.93,112.260002,110.839996,111.349998,0.38,DXY
29/08/2000,111.260002,112.93,111.07,111.419998,0.14,DXY
05/09/2000,111.610001,114.900002,111.5,114.339996,2.39,DXY
12/09/2000,114.809998,115.989998,114.120003,115.940002,0.97,DXY
19/09/2000,116.110001,116.75,111.620003,113.559998,-2.25,DXY
26/09/2000,113.419998,114.199997,112.639999,113.25,-0.15,DXY
03/10/2000,113.139999,115.029999,112.949997,114.849998,1.49,DXY
10/10/2000,114.660004,115.959999,113.870003,115.860001,1.04,DXY
17/10/2000,115.809998,117.870003,115.510002,117.160004,1.15,DXY
24/10/2000,117.190002,119.07,117,117.389999,0.17,DXY
31/10/2000,117.370003,117.690002,112.75,114.970001,-2.09,DXY
07/11/2000,114.919998,116.620003,114.349998,115.790001,0.75,DXY
14/11/2000,115.730003,117.349998,115.269997,117.309998,1.35,DXY
21/11/2000,117.199997,118.690002,116.919998,118.480003,1.08,DXY
28/11/2000,118.540001,118.610001,114.610001,114.730003,-3.32,DXY
05/12/2000,114.699997,114.940002,112.790001,114.050003,-0.57,DXY
12/12/2000,114.07,115.18,112.480003,112.900002,-1.04,DXY
19/12/2000,112.980003,113.660004,110.470001,110.82,-1.95,DXY
26/12/2000,110.459999,110.830002,109.459999,109.559998,-0.82,DXY
02/01/2001,109.330002,110.400002,108.089996,108.419998,-0.84,DXY
09/01/2001,108.330002,110.099998,108.230003,109.360001,0.94,DXY
16/01/2001,109.940002,111.099998,109.370003,110.660004,0.65,DXY
23/01/2001,110.529999,112.650002,109.739998,111.459999,0.83,DXY
30/01/2001,111.529999,112.080002,109.400002,110.32,-1.1,DXY
06/02/2001,110.199997,112.57,109.480003,111.519997,1.18,DXY
13/02/2001,111.650002,113.279999,111.040001,112.260002,0.54,DXY
20/02/2001,112.519997,113.620003,111.68,112.029999,-0.44,DXY
27/02/2001,112.169998,113.07,110.82,111.169998,-0.9,DXY
06/03/2001,111.129997,112.010002,110.93,111.440002,0.28,DXY
13/03/2001,111.470001,115.760002,111.379997,115.32,3.34,DXY
20/03/2001,115.260002,116.790001,113.790001,115.940002,0.59,DXY
27/03/2001,116.050003,117.629997,114.949997,117.370003,1.12,DXY
03/04/2001,117.699997,117.82,114.360001,114.75,-2.57,DXY
10/04/2001,114.709999,116.660004,114.610001,115.540001,0.72,DXY
17/04/2001,116.370003,117.559998,114.230003,114.32,-1.79,DXY
24/04/2001,114.190002,115.849998,113.860001,115.620003,1.24,DXY
01/05/2001,115.669998,116.139999,114.269997,114.93,-0.64,DXY
08/05/2001,115.160004,117.080002,115.089996,116.839996,1.44,DXY
15/05/2001,116.959999,117.339996,115.739998,116.410004,-0.47,DXY
22/05/2001,116.370003,118.760002,116.139999,118.18,1.53,DXY
29/05/2001,118.040001,119.389999,117.970001,118.889999,0.71,DXY
05/06/2001,119.139999,119.660004,118.32,119.209999,0.06,DXY
12/06/2001,119.349998,120.330002,117.43,118.290001,-0.9,DXY
19/06/2001,118.199997,119.620003,118.010002,118.910004,0.6,DXY
26/06/2001,118.760002,120.129997,117.790001,119.43,0.56,DXY
03/07/2001,119.389999,121.019997,119.239998,119.900002,0.43,DXY
10/07/2001,119.93,120.199997,118.120003,119.330002,-0.5,DXY
17/07/2001,119.220001,119.93,116.650002,117.209999,-1.71,DXY
24/07/2001,117.470001,118.099998,116.339996,116.940002,-0.45,DXY
31/07/2001,116.879997,117.459999,115.800003,116.139999,-0.64,DXY
07/08/2001,116.260002,117.160004,114.989998,115.290001,-0.84,DXY
14/08/2001,115.269997,115.419998,112.449997,112.989998,-2.02,DXY
21/08/2001,113.080002,113.82,112.32,113.330002,0.22,DXY
28/08/2001,113.400002,114.269997,112.540001,113.419998,0.02,DXY
04/09/2001,113.480003,116.080002,113.400002,114.050003,0.5,DXY
11/09/2001,113.919998,114.830002,113.779999,114.57,0.57,DXY
18/09/2001,111.980003,113.440002,111.309998,113.040001,0.94,DXY
25/09/2001,112.809998,113.690002,112.040001,113.480003,0.59,DXY
02/10/2001,113.690002,113.730003,112.559998,112.910004,-0.69,DXY
09/10/2001,112.739998,114.870003,112.269997,113.889999,1.01,DXY
16/10/2001,113.480003,115.040001,113.400002,114.860001,1.2,DXY
23/10/2001,114.889999,116.269997,114.790001,115.650002,0.66,DXY
30/10/2001,115.18,115.610001,113.660004,114.540001,-0.56,DXY
06/11/2001,114.879997,115.519997,114.169998,115.089996,0.18,DXY
13/11/2001,115.129997,116.830002,114.339996,116.410004,1.1,DXY
20/11/2001,116.660004,117.419998,116.330002,117.330002,0.57,DXY
27/11/2001,117.129997,117.43,115.220001,116.129997,-0.86,DXY
