date,Return (%),,
04/01/2000,0.77,,
11/01/2000,1.05,,
18/01/2000,0.15,,
25/01/2000,2.87,,
01/02/2000,-0.47,,
08/02/2000,0.08,,
15/02/2000,-0.13,,
22/02/2000,0.66,,
29/02/2000,0.85,,
07/03/2000,-0.62,,
14/03/2000,-0.33,,
21/03/2000,0.29,,
28/03/2000,0.09,,
04/04/2000,0.13,,
11/04/2000,0.43,,
18/04/2000,1.08,,
25/04/2000,2.19,,
02/05/2000,1.66,,
09/05/2000,-0.8,,
16/05/2000,0.45,,
23/05/2000,-1.75,,
30/05/2000,-1.52,,
06/06/2000,-0.46,,
13/06/2000,-0.6,,
20/06/2000,1.67,,
27/06/2000,-0.97,,
04/07/2000,-0.05,,
11/07/2000,1.58,,
18/07/2000,-0.01,,
25/07/2000,0.81,,
01/08/2000,1.12,,
08/08/2000,0.25,,
15/08/2000,0.34,,
22/08/2000,0,,
29/08/2000,-0.04,,
05/09/2000,3.55,,
12/09/2000,0.55,,
19/09/2000,-1.67,,
26/09/2000,-0.24,,
03/10/2000,0.9,,
10/10/2000,1.38,,
17/10/2000,0.99,,
24/10/2000,-0.25,,
31/10/2000,-1.33,,
07/11/2000,0.01,,
14/11/2000,1.43,,
21/11/2000,-0.21,,
28/11/2000,-2.89,,
05/12/2000,0.51,,
12/12/2000,-1.07,,
19/12/2000,-1.99,,
26/12/2000,-1.14,,
02/01/2001,-0.64,,
09/01/2001,1.02,,
16/01/2001,0.25,,
23/01/2001,1.39,,
30/01/2001,-1.68,,
06/02/2001,1.18,,
13/02/2001,0.66,,
20/02/2001,0.76,,
27/02/2001,-1.09,,
06/03/2001,0.42,,
13/03/2001,2.85,,
20/03/2001,0.01,,
27/03/2001,1.85,,
03/04/2001,-1.82,,
10/04/2001,0.84,,
17/04/2001,-1.21,,
24/04/2001,0.94,,
01/05/2001,-0.46,,
08/05/2001,1.58,,
15/05/2001,-0.53,,
22/05/2001,1.42,,
29/05/2001,0.85,,
05/06/2001,0.72,,
12/06/2001,-1.41,,
19/06/2001,-0.03,,
26/06/2001,1.14,,
03/07/2001,0.18,,
10/07/2001,-0.49,,
17/07/2001,-1.22,,
24/07/2001,-0.55,,
31/07/2001,-0.67,,
07/08/2001,-1.21,,
14/08/2001,-1.4,,
21/08/2001,-0.01,,
28/08/2001,0.25,,
04/09/2001,0.79,,
11/09/2001,-2.23,,
18/09/2001,0.74,,
25/09/2001,0.14,,
02/10/2001,-0.36,,
09/10/2001,1.09,,
16/10/2001,1.7,,
23/10/2001,-1.13,,
30/10/2001,0.09,,
06/11/2001,0.7,,
13/11/2001,1.38,,
20/11/2001,0.15,,
27/11/2001,-0.98,,
04/12/2001,0.26,,
11/12/2001,-1.14,,
18/12/2001,2.62,,
25/12/2001,-1.01,,
01/01/2002,-0.36,,
