date,DXY Return (%),US10Y Percent Change
27/03/2000,0.74,-2.23
04/12/2000,-0.57,-1.66
08/10/2001,1.02,-2.79
11/03/2002,-0.62,4.74
18/11/2002,0.93,-1.45
16/12/2002,-0.40,-3.12
25/08/2003,-0.92,-0.45
29/12/2003,-0.87,0.08
07/06/2004,1.81,1.13
06/06/2005,0.78,-3.07
26/09/2005,0.16,0.81
20/03/2006,1.12,-0.72
06/11/2006,-0.76,-2.81
27/11/2006,-1.04,-0.80
14/05/2007,0.12,0.04
04/06/2007,0.43,1.29
27/08/2007,0.11,-1.53
15/10/2007,-1.02,2.23
07/01/2008,-0.09,-6.59
07/04/2008,-0.24,0.68
02/06/2008,-0.66,4.87
09/06/2008,2.57,-1.22
01/12/2008,0.80,-8.38
12/01/2009,2.11,11.02
19/10/2009,-0.13,4.56
16/11/2009,0.79,-1.45
04/01/2010,-0.59,1.86
23/08/2010,-0.12,-5.29
31/01/2011,-0.34,-0.45
06/06/2011,1.55,-3.03
05/09/2011,3.03,-0.82
09/04/2012,-0.03,-0.45
27/08/2012,-0.39,-1.47
15/10/2012,-0.09,2.30
19/11/2012,-1.20,-5.77
25/02/2013,0.85,-0.57
06/05/2013,1.41,-1.51
18/11/2013,0.17,2.22
14/04/2014,0.26,-3.39
30/06/2014,0.25,-2.21
18/08/2014,1.13,-2.35
18/05/2015,2.98,2.38
21/09/2015,1.00,0.45
30/11/2015,-1.73,-1.02
28/03/2016,-1.72,-1.11
22/08/2016,1.13,0.91
16/01/2017,-0.90,-1.86
25/09/2017,0.82,3.39
02/04/2018,0.16,-2.49
20/08/2018,-1.02,-2.11
26/11/2018,0.35,-1.77
04/03/2019,1.07,1.43
24/06/2019,-0.05,-3.39
19/08/2019,-0.54,-7.63
06/04/2020,-1.18,-18.86
11/05/2020,0.73,4.38
24/08/2020,-0.89,-0.30
05/10/2020,-0.80,0.89
23/08/2021,-0.82,-5.98
21/03/2022,0.58,13.18
22/08/2022,0.65,2.13
28/11/2022,-1.42,-1.14
