date,DXY Return (%),US10Y Percent Change
2000/03/27,0.74,-2.23
2000/12/04,-0.57,-1.66
2001/10/08,1.02,-2.79
2002/03/11,-0.62,4.74
2002/11/18,0.93,-1.45
2002/12/16,-0.4,-3.12
2003/08/25,-0.92,-0.45
2003/12/29,-0.87,0.08
2004/06/07,1.81,1.13
2005/06/06,0.78,-3.07
2005/09/26,0.16,0.81
2006/03/20,1.12,-0.72
2006/11/06,-0.76,-2.81
2006/11/27,-1.04,-0.8
2007/05/14,0.12,0.04
2007/06/04,0.43,1.29
2007/08/27,0.11,-1.53
2007/10/15,-1.02,2.23
2008/01/07,-0.09,-6.59
2008/04/07,-0.24,0.68
2008/06/02,-0.66,4.87
2008/06/09,2.57,-1.22
2008/12/01,0.8,-8.38
2009/01/12,2.11,11.02
2009/10/19,-0.13,4.56
2009/11/16,0.79,-1.45
2010/01/04,-0.59,1.86
2010/08/23,-0.12,-5.29
2011/01/31,-0.34,-0.45
2011/06/06,1.55,-3.03
2011/09/05,3.03,-0.82
2012/04/09,-0.03,-0.45
2012/08/27,-0.39,-1.47
2012/10/15,-0.09,2.3
2012/11/19,-1.2,-5.77
2013/02/25,0.85,-0.57
2013/05/06,1.41,-1.51
2013/11/18,0.17,2.22
2014/04/14,0.26,-3.39
2014/06/30,0.25,-2.21
2014/08/18,1.13,-2.35
2015/05/18,2.98,2.38
2015/09/21,1,0.45
2015/11/30,-1.73,-1.02
2016/03/28,-1.72,-1.11
2016/08/22,1.13,0.91
2017/01/16,-0.9,-1.86
2017/09/25,0.82,3.39
2018/04/02,0.16,-2.49
2018/08/20,-1.02,-2.11
2018/11/26,0.35,-1.77
2019/03/04,1.07,1.43
2019/06/24,-0.05,-3.39
2019/08/19,-0.54,-7.63
2020/04/06,-1.18,-18.86
2020/05/11,0.73,4.38
2020/08/24,-0.89,-0.3
2020/10/05,-0.8,0.89
2021/08/23,-0.82,-5.98
2022/03/21,0.58,13.18
2022/08/22,0.65,2.13
2022/11/28,-1.42,-1.14
