date,US10Y Percent Change,DXY Return (%)
02/02/2000,-0.3,-0.17
03/21/2000,-0.81,0.63
05/16/2000,-0.62,0.39
01/03/2001,4.47,1.46
01/31/2001,-0.95,-0.43
03/20/2001,-0.83,-0.86
04/18/2001,-1.34,-0.26
05/15/2001,0.73,-0.35
06/27/2001,0.38,0.25
08/21/2001,-0.81,-0.19
09/17/2001,1.31,0.03
10/02/2001,-0.44,-0.14
11/06/2001,-0.23,-0.04
12/11/2001,-0.77,-0.03
11/06/2002,-0.24,-0.61
06/25/2003,2.74,-0.35
06/30/2004,-1.7,-0.6
08/10/2004,0.93,0.41
09/21/2004,-0.49,-0.94
11/10/2004,0.71,0.25
12/14/2004,-0.48,0.21
02/02/2005,0,0.05
03/22/2005,2.21,0.46
05/03/2005,0,-0.08
06/30/2005,-1.25,0.01
08/09/2005,-0.23,-0.11
09/20/2005,0.24,0.11
11/01/2005,0.22,-0.04
12/13/2005,-0.44,0.06
01/31/2006,-0.22,-0.53
03/28/2006,1.91,0.24
05/10/2006,0,-0.28
06/29/2006,-0.57,-0.96
09/18/2007,0.45,-0.68
10/31/2007,1.82,-0.35
12/11/2007,-4.1,0.24
01/22/2008,0,-0.99
01/30/2008,2.44,-0.62
03/18/2008,4.19,0.08
04/30/2008,-2.08,-0.48
10/08/2008,6.29,-0.36
10/29/2008,1.03,-1.15
12/16/2008,-6.32,-1.71
12/17/2015,-2.61,0.72
12/15/2016,2.36,0.86
03/16/2017,0.8,-0.29
06/15/2017,0.47,0.52
12/14/2017,-0.42,0.09
03/22/2018,-2.08,0.23
06/14/2018,-1.34,1.36
09/27/2018,0,0.79
12/20/2018,0.72,-0.73
08/01/2019,-5.94,-0.2
09/19/2019,-0.56,-0.3
10/31/2019,-5.06,-0.09
03/03/2020,-7.27,-0.42
03/16/2020,-22.34,-0.39
03/17/2022,0.46,-0.5
05/05/2022,4.1,1.04
06/16/2022,-1.5,-1.21
07/27/2022,-1.07,-0.63
09/21/2022,-1.68,0.44
11/02/2022,0.74,-0.17
12/14/2022,-0.57,-0.29
