Year,Currency,FX Reserves
2000,Shares of U.S. dollars (%),71.14
2000,Shares of Euro (%),18.29
2000,Shares of Japanese Yen (%),6.07
2001,Shares of U.S. dollars (%),71.52
2001,Shares of Euro (%),19.18
2001,Shares of Japanese Yen (%),5.04
2002,Shares of U.S. dollars (%),66.50
2002,Shares of Euro (%),23.65
2002,Shares of Japanese Yen (%),4.94
2003,Shares of U.S. dollars (%),65.45
2003,Shares of Euro (%),25.03
2003,Shares of Japanese Yen (%),4.42
2004,Shares of U.S. dollars (%),65.51
2004,Shares of Euro (%),24.68
2004,Shares of Japanese Yen (%),4.28
2005,Shares of U.S. dollars (%),66.52
2005,Shares of Euro (%),23.89
2005,Shares of Japanese Yen (%),3.96
2006,Shares of U.S. dollars (%),65.04
2006,Shares of Euro (%),24.99
2006,Shares of Japanese Yen (%),3.46
2007,Shares of U.S. dollars (%),63.87
2007,Shares of Euro (%),26.13
2007,Shares of Japanese Yen (%),3.18
2008,Shares of U.S. dollars (%),63.77
2008,Shares of Euro (%),26.21
2008,Shares of Japanese Yen (%),3.47
2009,Shares of U.S. dollars (%),62.15
2009,Shares of Euro (%),27.70
2009,Shares of Japanese Yen (%),2.90
2010,Shares of U.S. dollars (%),62.25
2010,Shares of Euro (%),25.76
2010,Shares of Japanese Yen (%),3.66
2011,Shares of U.S. dollars (%),62.70
2011,Shares of Euro (%),24.45
2011,Shares of Japanese Yen (%),3.61
2012,Shares of U.S. dollars (%),61.50
2012,Shares of Euro (%),24.07
2012,Shares of Japanese Yen (%),4.09
2013,Shares of U.S. dollars (%),61.28
2013,Shares of Euro (%),24.21
2013,Shares of Japanese Yen (%),3.82
2014,Shares of U.S. dollars (%),65.17
2014,Shares of Euro (%),21.21
2014,Shares of Japanese Yen (%),3.55
2015,Shares of U.S. dollars (%),65.75
2015,Shares of Euro (%),19.15
2015,Shares of Japanese Yen (%),3.75
2016,Shares of U.S. dollars (%),65.36
2016,Shares of Euro (%),19.14
2016,Shares of Japanese Yen (%),3.95
2017,Shares of U.S. dollars (%),62.73
2017,Shares of Euro (%),20.17
2017,Shares of Japanese Yen (%),4.90
2018,Shares of U.S. dollars (%),61.76
2018,Shares of Euro (%),20.67
2018,Shares of Japanese Yen (%),5.19
2019,Shares of U.S. dollars (%),60.75
2019,Shares of Euro (%),20.59
2019,Shares of Japanese Yen (%),5.87
2020,Shares of U.S. dollars (%),58.92
2020,Shares of Euro (%),21.29
2020,Shares of Japanese Yen (%),6.03
2021,Shares of U.S. dollars (%),58.81
2021,Shares of Euro (%),20.60
2021,Shares of Japanese Yen (%),5.52
