Date,Federal Funds Effective Rate
07/01/1970,8.45
14/01/1970,8.96
21/01/1970,9.3
28/01/1970,9.04
04/02/1970,9.22
11/02/1970,9.18
18/02/1970,9.39
25/02/1970,8.41
04/03/1970,8.32
11/03/1970,7.71
18/03/1970,7.82
25/03/1970,7.45
01/04/1970,7.93
08/04/1970,7.68
15/04/1970,8.02
22/04/1970,8.21
29/04/1970,8.43
06/05/1970,8.47
13/05/1970,7.97
20/05/1970,7.84
27/05/1970,7.65
03/06/1970,7.84
10/06/1970,7.98
17/06/1970,7.8
24/06/1970,7.21
01/07/1970,7.23
08/07/1970,7.34
15/07/1970,7.59
22/07/1970,7.16
29/07/1970,6.89
05/08/1970,6.93
12/08/1970,6.83
19/08/1970,6.64
26/08/1970,6.34
02/09/1970,6.47
09/09/1970,6.65
16/09/1970,6.47
23/09/1970,5.84
30/09/1970,6.06
07/10/1970,6.36
14/10/1970,6.22
21/10/1970,6.18
28/10/1970,6.11
04/11/1970,6.07
11/11/1970,5.8
18/11/1970,5.7
25/11/1970,5.16
02/12/1970,5.5
09/12/1970,4.91
16/12/1970,5.07
23/12/1970,4.84
30/12/1970,4.82
06/01/1971,3.82
13/01/1971,4.27
20/01/1971,4.13
27/01/1971,4.23
03/02/1971,4.09
10/02/1971,3.59
17/02/1971,4.14
24/02/1971,3.47
03/03/1971,3.41
10/03/1971,3.29
17/03/1971,3.93
24/03/1971,3.7
31/03/1971,4.02
07/04/1971,3.98
14/04/1971,4.2
21/04/1971,4.27
28/04/1971,4.15
05/05/1971,4.41
12/05/1971,4.59
19/05/1971,4.56
26/05/1971,4.68
02/06/1971,4.83
09/06/1971,4.77
16/06/1971,4.9
23/06/1971,4.97
30/06/1971,5.08
07/07/1971,5.18
14/07/1971,5.13
21/07/1971,5.47
28/07/1971,5.38
04/08/1971,5.57
11/08/1971,5.59
18/08/1971,5.59
25/08/1971,5.48
01/09/1971,5.59
08/09/1971,5.73
15/09/1971,5.59
22/09/1971,5.46
29/09/1971,5.43
06/10/1971,5.33
13/10/1971,5.29
20/10/1971,5.14
27/10/1971,5.11
03/11/1971,5.17
10/11/1971,4.93
17/11/1971,4.88
24/11/1971,4.86
01/12/1971,4.68
08/12/1971,4.59
15/12/1971,4.2
22/12/1971,3.9
29/12/1971,4.05
05/01/1972,3.57
12/01/1972,3.72
19/01/1972,3.54
26/01/1972,3.43
02/02/1972,3.23
09/02/1972,3.25
16/02/1972,3.43
23/02/1972,3.34
01/03/1972,3.18
08/03/1972,3.43
15/03/1972,3.88
22/03/1972,3.91
29/03/1972,4.09
05/04/1972,4.16
12/04/1972,4.18
19/04/1972,4.05
26/04/1972,4.2
03/05/1972,4.25
10/05/1972,4.2
17/05/1972,4.32
24/05/1972,4.24
31/05/1972,4.37
07/06/1972,4.48
14/06/1972,4.46
21/06/1972,4.4
28/06/1972,4.49
05/07/1972,4.61
12/07/1972,4.62
19/07/1972,4.46
26/07/1972,4.54
02/08/1972,4.56
09/08/1972,4.69
16/08/1972,4.86
23/08/1972,4.75
30/08/1972,4.9
06/09/1972,4.9
13/09/1972,4.69
20/09/1972,4.93
27/09/1972,4.99
04/10/1972,5.15
11/10/1972,5.09
18/10/1972,4.91
25/10/1972,5.01
01/11/1972,5.06
08/11/1972,5.25
15/11/1972,4.89
22/11/1972,4.98
29/11/1972,5.03
06/12/1972,5.17
13/12/1972,5.29
20/12/1972,5.38
27/12/1972,5.34
03/01/1973,5.61
10/01/1973,5.66
17/01/1973,5.86
24/01/1973,6.03
31/01/1973,6.35
07/02/1973,6.22
14/02/1973,6.58
21/02/1973,6.79
28/02/1973,6.75
07/03/1973,7.02
14/03/1973,7.13
21/03/1973,6.96
28/03/1973,7.11
04/04/1973,7.18
11/04/1973,6.84
18/04/1973,7.24
25/04/1973,7.14
02/05/1973,7.43
09/05/1973,7.6
16/05/1973,7.82
23/05/1973,8.06
30/05/1973,7.95
06/06/1973,8.43
13/06/1973,8.17
20/06/1973,8.56
27/06/1973,8.59
04/07/1973,10.22
11/07/1973,9.52
18/07/1973,10.22
25/07/1973,10.58
01/08/1973,10.57
08/08/1973,10.39
15/08/1973,10.39
22/08/1973,10.52
29/08/1973,10.79
05/09/1973,10.79
12/09/1973,10.74
19/09/1973,10.8
26/09/1973,10.84
03/10/1973,10.72
10/10/1973,9.87
17/10/1973,10.07
24/10/1973,9.98
31/10/1973,9.9
07/11/1973,9.71
14/11/1973,10.03
21/11/1973,10.23
28/11/1973,10.09
05/12/1973,10.17
12/12/1973,10.04
19/12/1973,10.18
26/12/1973,9.52
02/01/1974,9.87
09/01/1974,9.76
16/01/1974,9.77
23/01/1974,9.6
30/01/1974,9.47
06/02/1974,9.13
13/02/1974,8.93
20/02/1974,9.07
27/02/1974,8.81
06/03/1974,8.98
13/03/1974,9.03
20/03/1974,9.33
27/03/1974,9.61
03/04/1974,9.93
10/04/1974,10.02
17/04/1974,10.36
24/04/1974,10.78
01/05/1974,11.17
08/05/1974,11.29
15/05/1974,11.46
22/05/1974,10.95
29/05/1974,11.54
05/06/1974,11.45
12/06/1974,11.6
19/06/1974,11.85
26/06/1974,11.97
03/07/1974,13.55
10/07/1974,13.34
17/07/1974,13.04
24/07/1974,12.6
31/07/1974,12.29
07/08/1974,12.09
14/08/1974,12.02
21/08/1974,12.23
28/08/1974,11.84
04/09/1974,11.64
11/09/1974,11.48
18/09/1974,11.41
25/09/1974,11.12
02/10/1974,11.04
09/10/1974,10.43
16/10/1974,10.11
23/10/1974,9.81
30/10/1974,9.72
06/11/1974,9.63
13/11/1974,9.37
20/11/1974,9.34
27/11/1974,9.46
04/12/1974,9.02
11/12/1974,8.86
18/12/1974,8.72
25/12/1974,8.45
01/01/1975,7.35
08/01/1975,7.7
15/01/1975,7.22
22/01/1975,7.17
29/01/1975,6.99
05/02/1975,6.46
12/02/1975,6.28
19/02/1975,6.29
26/02/1975,6.15
05/03/1975,5.88
12/03/1975,5.44
19/03/1975,5.38
26/03/1975,5.53
02/04/1975,5.59
09/04/1975,5.28
16/04/1975,5.44
23/04/1975,5.54
30/04/1975,5.71
07/05/1975,5.42
14/05/1975,5.2
21/05/1975,5.13
28/05/1975,5.14
04/06/1975,5.24
11/06/1975,5.15
18/06/1975,5.31
25/06/1975,5.72
02/07/1975,6.31
09/07/1975,6.06
16/07/1975,5.93
23/07/1975,6.14
30/07/1975,6.25
06/08/1975,6.09
13/08/1975,6.08
20/08/1975,6.15
27/08/1975,6.23
03/09/1975,6.06
10/09/1975,6.15
17/09/1975,6.28
24/09/1975,6.29
01/10/1975,6.36
08/10/1975,6.06
15/10/1975,5.82
22/10/1975,5.73
29/10/1975,5.65
05/11/1975,5.17
12/11/1975,5.24
19/11/1975,5.24
26/11/1975,5.28
03/12/1975,5.25
10/12/1975,5.26
17/12/1975,5.17
24/12/1975,5.18
31/12/1975,5.18
07/01/1976,5.12
14/01/1976,4.76
21/01/1976,4.81
28/01/1976,4.8
04/02/1976,4.82
11/02/1976,4.73
18/02/1976,4.7
25/02/1976,4.8
03/03/1976,4.95
10/03/1976,4.86
17/03/1976,4.77
24/03/1976,4.79
31/03/1976,4.84
07/04/1976,4.73
14/04/1976,4.77
21/04/1976,4.78
28/04/1976,4.93
05/05/1976,5.03
12/05/1976,5.02
19/05/1976,5.28
26/05/1976,5.5
02/06/1976,5.54
09/06/1976,5.44
16/06/1976,5.47
23/06/1976,5.48
30/06/1976,5.58
07/07/1976,5.37
14/07/1976,5.27
21/07/1976,5.3
28/07/1976,5.28
04/08/1976,5.36
11/08/1976,5.25
