date,DXY Return (%),US10Y Percent Change
04/01/2000,0.77,0.85
11/01/2000,1.05,1.98
18/01/2000,0.15,1.63
25/01/2000,2.87,0.63
01/02/2000,-0.47,-1.10
08/02/2000,0.08,-1.44
15/02/2000,-0.13,0.40
22/02/2000,0.66,-1.49
29/02/2000,0.85,-1.65
07/03/2000,-0.62,0.13
14/03/2000,-0.33,-0.63
21/03/2000,0.29,-2.30
28/03/2000,0.09,-0.87
04/04/2000,0.13,-2.01
11/04/2000,0.43,-2.62
18/04/2000,1.08,1.50
25/04/2000,2.19,1.11
02/05/2000,1.66,3.52
09/05/2000,-0.8,4.04
16/05/2000,0.45,-0.49
23/05/2000,-1.75,0.40
30/05/2000,-1.52,-1.47
06/06/2000,-0.46,-3.32
13/06/2000,-0.6,-1.00
20/06/2000,1.67,-1.50
27/06/2000,-0.97,1.66
04/07/2000,-0.05,-1.32
11/07/2000,1.58,-0.25
18/07/2000,-0.01,1.26
25/07/2000,0.81,-0.88
01/08/2000,1.12,-0.40
08/08/2000,0.25,-1.33
15/08/2000,0.34,-2.66
22/08/2000,0,0.14
29/08/2000,-0.04,-0.72
05/09/2000,3.55,-0.50
12/09/2000,0.55,0.43
19/09/2000,-1.67,1.22
26/09/2000,-0.24,0.62
03/10/2000,0.9,-0.48
10/10/2000,1.38,0.30
17/10/2000,0.99,-2.01
24/10/2000,-0.25,-1.64
31/10/2000,-1.33,1.45
07/11/2000,0.01,1.61
14/11/2000,1.43,-0.03
21/11/2000,-0.21,-2.00
28/11/2000,-2.89,-1.26
05/12/2000,0.51,-2.10
12/12/2000,-1.07,-2.87
19/12/2000,-1.99,-2.40
26/12/2000,-1.14,-3.33
02/01/2001,-0.64,0.55
09/01/2001,1.02,-1.30
16/01/2001,0.25,3.57
23/01/2001,1.39,0.53
30/01/2001,-1.68,1.61
06/02/2001,1.18,-2.30
13/02/2001,0.66,-1.97
20/02/2001,0.76,1.28
27/02/2001,-1.09,-1.07
06/03/2001,0.42,-2.72
13/03/2001,2.85,-0.32
20/03/2001,0.01,-2.44
27/03/2001,1.85,0.50
03/04/2001,-1.82,2.69
10/04/2001,0.84,0.12
17/04/2001,-1.21,4.61
24/04/2001,0.94,0.56
01/05/2001,-0.46,1.34
08/05/2001,1.58,-1.06
15/05/2001,-0.53,3.02
22/05/2001,1.42,0.74
29/05/2001,0.85,1.13
05/06/2001,0.72,-1.77
12/06/2001,-1.41,-1.59
19/06/2001,-0.03,-0.87
26/06/2001,1.14,-1.29
03/07/2001,0.18,3.12
10/07/2001,-0.49,0.43
17/07/2001,-1.22,-2.40
24/07/2001,-0.55,-2.36
31/07/2001,-0.67,0.16
07/08/2001,-1.21,0.66
14/08/2001,-1.4,-3.52
21/08/2001,-0.01,-1.56
28/08/2001,0.25,-0.20
04/09/2001,0.79,-1.05
11/09/2001,-2.23,0.31
18/09/2001,0.74,-4.67
25/09/2001,0.14,1.68
02/10/2001,-0.36,-2.88
09/10/2001,1.09,-0.86
16/10/2001,1.7,2.10
23/10/2001,-1.13,-0.43
30/10/2001,0.09,-1.95
06/11/2001,0.7,-4.95
13/11/2001,1.38,0.43
20/11/2001,0.15,10.68
27/11/2001,-0.98,4.78
04/12/2001,0.26,-4.24
11/12/2001,-1.14,6.08
18/12/2001,2.62,1.37
25/12/2001,-1.01,-0.91
01/01/2002,-0.36,0.54
08/01/2002,0.27,0.07
15/01/2002,0.87,-3.58
22/01/2002,2.02,-0.44
29/01/2002,-0.95,2.67
05/02/2002,-0.39,-1.54
12/02/2002,0.27,-1.36
19/02/2002,0.31,-0.02
26/02/2002,-0.27,-0.95
05/03/2002,-0.91,1.44
12/03/2002,-0.2,6.14
19/03/2002,0.51,1.60
26/03/2002,-0.28,1.01
02/04/2002,0.37,0.05
09/04/2002,-0.47,-2.57
16/04/2002,-1.03,-1.07
23/04/2002,-1.32,0.23
30/04/2002,-1.07,-2.00
07/05/2002,0.43,-0.20
14/05/2002,-1.17,2.59
21/05/2002,0.16,0.00
28/05/2002,-1.5,-1.44
04/06/2002,-0.18,-1.60
11/06/2002,-0.23,-0.16
18/06/2002,-2.38,-3.12
25/06/2002,-1.57,-1.51
02/07/2002,-0.2,-0.33
09/07/2002,-1.53,0.23
16/07/2002,0.08,-3.17
23/07/2002,2.24,-1.71
30/07/2002,0.16,-1.48
06/08/2002,0.13,-2.65
13/08/2002,0.1,-3.00
20/08/2002,0.32,-1.64
27/08/2002,-0.82,1.19
03/09/2002,0.11,-2.99
10/09/2002,1.06,-3.18
17/09/2002,-0.35,-1.15
24/09/2002,-0.92,-4.61
01/10/2002,0.64,-1.22
08/10/2002,-0.37,-1.13
15/10/2002,1.01,3.25
22/10/2002,-0.99,9.91
29/10/2002,-0.97,-1.25
05/11/2002,-1.46,-2.47
12/11/2002,0.6,-2.61
19/11/2002,1.27,1.81
26/11/2002,-0.18,3.71
03/12/2002,-1.04,2.44
10/12/2002,-1.12,-3.09
17/12/2002,-0.4,-0.73
24/12/2002,-1.57,-2.21
31/12/2002,-0.04,-3.30
07/01/2003,-0.49,5.45
14/01/2003,-0.91,1.42
21/01/2003,-1.28,-1.33
28/01/2003,0.64,-2.34
04/02/2003,0.37,0.91
11/02/2003,-0.23,-0.55
18/02/2003,-0.38,-1.42
25/02/2003,-0.56,-1.72
04/03/2003,-1.26,-3.73
11/03/2003,2.95,-2.48
18/03/2003,0.24,3.70
25/03/2003,-1.9,6.71
01/04/2003,2,-2.74
08/04/2003,-1.07,1.59
15/04/2003,-0.37,0.45
22/04/2003,-0.92,0.19
29/04/2003,-2.33,-0.99
06/05/2003,-1.89,-1.37
13/05/2003,-0.81,-5.60
20/05/2003,-0.78,-5.55
27/05/2003,0.31,-2.94
03/06/2003,-0.04,0.42
10/06/2003,-0.96,-2.48
17/06/2003,1.82,-3.21
24/06/2003,0.69,4.76
01/07/2003,0.82,5.26
08/07/2003,0.59,4.49
15/07/2003,0.04,2.01
22/07/2003,-1.09,8.20
29/07/2003,1.18,4.73
05/08/2003,-0.32,3.86
12/08/2003,1.54,-2.04
19/08/2003,1.52,4.21
26/08/2003,-0.84,-0.27
02/09/2003,-0.86,0.16
09/09/2003,-1.21,-1.22
16/09/2003,-2.22,-3.51
23/09/2003,-0.82,-1.91
30/09/2003,-0.72,-3.28
07/10/2003,-0.56,1.33
14/10/2003,0.59,4.47
21/10/2003,-0.89,2.49
28/10/2003,2.24,-3.17
04/11/2003,-0.65,1.54
11/11/2003,-1.63,2.39
18/11/2003,0.07,-4.22
25/11/2003,-1.35,-1.60
02/12/2003,-1.77,3.54
09/12/2003,-0.33,-0.38
16/12/2003,-0.53,-1.29
23/12/2003,-0.73,-1.83
30/12/2003,-1.47,0.79
06/01/2004,-0.6,2.66
13/01/2004,2.47,-4.05
20/01/2004,-0.47,-3.17
27/01/2004,0.32,1.24
03/02/2004,-1.75,2.50
10/02/2004,-0.62,-1.05
17/02/2004,1.84,-1.82
24/02/2004,0.55,-0.11
02/03/2004,0.55,-0.89
09/03/2004,0.92,-3.18
16/03/2004,-1.13,-3.75
23/03/2004,0.93,0.00
30/03/2004,0.67,2.19
06/04/2004,-0.3,6.27
13/04/2004,0.96,4.42
20/04/2004,0.91,3.58
27/04/2004,0.15,0.95
04/05/2004,0.88,2.03
11/05/2004,-0.61,4.23
18/05/2004,-0.57,1.18
25/05/2004,-1.69,-0.67
