Date,GBPCAD,GBP/USD,GBP/EUR
2015-01-02,1.8024,1.5388,1.279
2015-01-05,1.7966,1.524,1.2767
2015-01-06,1.7885,1.517,1.2727
2015-01-07,1.7872,1.5063,1.2762
2015-01-08,1.7831,1.5082,1.2789
2015-01-09,1.7956,1.5148,1.2801
2015-01-12,1.8061,1.5137,1.281
2015-01-13,1.8106,1.5176,1.2881
2015-01-14,1.8193,1.5213,1.2907
2015-01-15,1.8074,1.5168,1.3091
2015-01-16,1.8096,1.5113,1.315
2015-01-19,1.8127,1.5158,1.3031
2015-01-20,1.8369,1.5195,1.3129
2015-01-21,1.8572,1.5116,1.3046
2015-01-22,1.8601,1.5086,1.3214
2015-01-23,1.8635,1.5026,1.336
2015-01-26,1.8716,1.5051,1.3372
2015-01-27,1.8842,1.5205,1.3335
2015-01-28,1.889,1.5179,1.3385
2015-01-29,1.8953,1.5077,1.3299
2015-01-30,1.9037,1.5018,1.3309
2015-02-02,1.8925,1.5035,1.3256
2015-02-03,1.8876,1.5114,1.3201
2015-02-04,1.9125,1.5215,1.3317
2015-02-05,1.899,1.5286,1.3376
2015-02-06,1.9069,1.5269,1.346
2015-02-09,1.8994,1.524,1.3444
2015-02-10,1.9104,1.526,1.3476
2015-02-11,1.9318,1.5266,1.3504
2015-02-12,1.9215,1.5363,1.3509
2015-02-13,1.9166,1.5393,1.3499
2015-02-16,1.9198,1.5379,1.3486
2015-02-17,1.9058,1.5336,1.3451
2015-02-18,1.9205,1.5447,1.3597
2015-02-19,1.9322,1.5439,1.3556
2015-02-20,1.9236,1.5374,1.3523
2015-02-23,1.9435,1.5449,1.3605
2015-02-24,1.9452,1.5459,1.3637
2015-02-25,1.927,1.5488,1.3637
2015-02-26,1.9246,1.541,1.3742
2015-02-27,1.9292,1.5451,1.3775
2015-03-02,1.9242,1.5362,1.3723
2015-03-03,1.9149,1.5372,1.3743
2015-03-04,1.9021,1.5269,1.3794
2015-03-05,1.9019,1.5237,1.3812
2015-03-06,1.8971,1.5061,1.3868
2015-03-09,1.9019,1.5096,1.3918
2015-03-10,1.906,1.5085,1.4089
2015-03-11,1.9076,1.4945,1.4134
2015-03-12,1.8919,1.4905,1.4043
2015-03-13,1.8892,1.4755,1.4022
2015-03-16,1.8891,1.48,1.3995
2015-03-17,1.8828,1.4743,1.3902
2015-03-18,1.8757,1.4686,1.3799
2015-03-19,1.8768,1.4727,1.3866
2015-03-20,1.8794,1.4922,1.3828
2015-03-23,1.8694,1.4936,1.3668
2015-03-24,1.8603,1.4868,1.3633
2015-03-25,1.8666,1.4915,1.3576
2015-03-26,1.8509,1.4843,1.3594
2015-03-27,1.8715,1.4878,1.3661
2015-03-30,1.8799,1.4806,1.367
2015-03-31,1.8805,1.4847,1.3821
2015-04-01,1.8733,1.4816,1.3773
2015-04-02,1.8652,1.4828,1.363
2015-04-07,1.8555,1.4868,1.3693
2015-04-08,1.8703,1.4924,1.383
2015-04-09,1.8577,1.4737,1.3803
2015-04-10,1.8435,1.4651,1.3792
2015-04-13,1.8447,1.4642,1.3846
2015-04-14,1.8434,1.479,1.383
2015-04-15,1.8326,1.4766,1.3918
2015-04-16,1.8227,1.4899,1.3923
2015-04-17,1.8281,1.4961,1.3884
2015-04-20,1.8195,1.4915,1.3869
2015-04-21,1.8326,1.4933,1.3902
2015-04-22,1.8424,1.5036,1.4022
2015-04-23,1.8306,1.5054,1.3936
2015-04-24,1.846,1.5165,1.3959
2015-04-27,1.8401,1.5211,1.3977
2015-04-28,1.8436,1.5324,1.3954
2015-04-29,1.8486,1.5454,1.3859
2015-04-30,1.8615,1.5368,1.372
2015-05-01,1.846,1.5177,1.3527
2015-05-05,1.8239,1.5193,1.3581
2015-05-06,1.825,1.5248,1.343
2015-05-07,1.847,1.52,1.3498
2015-05-08,1.8715,1.5422,1.3743
2015-05-11,1.8811,1.5562,1.3959
2015-05-12,1.8789,1.5663,1.3926
2015-05-13,1.8842,1.5729,1.3857
2015-05-14,1.8854,1.5759,1.3847
2015-05-15,1.8959,1.5789,1.3804
2015-05-18,1.9022,1.5682,1.3799
2015-05-19,1.899,1.5507,1.3934
2015-05-20,1.9016,1.5556,1.4006
2015-05-21,1.9141,1.5666,1.4088
2015-05-22,1.9038,1.5501,1.4057
2015-05-26,1.9105,1.5384,1.4116
2015-05-27,1.9134,1.5332,1.4092
2015-05-28,1.912,1.5292,1.4006
2015-05-29,1.904,1.5261,1.392
2015-06-01,1.9074,1.5207,1.3955
2015-06-02,1.9072,1.5329,1.3774
2015-06-03,1.9084,1.5331,1.3609
2015-06-04,1.9152,1.5365,1.3618
2015-06-05,1.9009,1.5241,1.3721
2015-06-08,1.9015,1.5274,1.3629
2015-06-09,1.8886,1.5317,1.3622
