DATE,FED,BOE,BOC
01/07/2015,0.11,0.5,1.25
01/14/2015,0.12,0.5,1.25
01/21/2015,0.13,0.5,1
01/28/2015,0.12,0.5,1
02/04/2015,0.09,0.5,1
02/11/2015,0.12,0.5,1
02/18/2015,0.12,0.5,1
02/25/2015,0.12,0.5,1
03/04/2015,0.09,0.5,1
03/11/2015,0.12,0.5,1
03/18/2015,0.11,0.5,1
03/25/2015,0.12,0.5,1
04/01/2015,0.11,0.5,1
04/08/2015,0.12,0.5,1
04/15/2015,0.12,0.5,1
04/22/2015,0.13,0.5,1
04/29/2015,0.13,0.5,1
05/06/2015,0.12,0.5,1
05/13/2015,0.13,0.5,1
05/20/2015,0.13,0.5,1
05/27/2015,0.13,0.5,1
06/03/2015,0.1,0.5,1
06/10/2015,0.13,0.5,1
06/17/2015,0.13,0.5,1
06/24/2015,0.13,0.5,1
07/01/2015,0.12,0.5,1
07/08/2015,0.13,0.5,1
07/15/2015,0.13,0.5,0.75
07/22/2015,0.13,0.5,0.75
07/29/2015,0.13,0.5,0.75
08/05/2015,0.11,0.5,0.75
08/12/2015,0.14,0.5,0.75
08/19/2015,0.15,0.5,0.75
08/26/2015,0.15,0.5,0.75
09/02/2015,0.13,0.5,0.75
09/09/2015,0.14,0.5,0.75
09/16/2015,0.14,0.5,0.75
09/23/2015,0.14,0.5,0.75
09/30/2015,0.12,0.5,0.75
10/07/2015,0.13,0.5,0.75
10/14/2015,0.13,0.5,0.75
10/21/2015,0.13,0.5,0.75
10/28/2015,0.12,0.5,0.75
11/04/2015,0.1,0.5,0.75
11/11/2015,0.12,0.5,0.75
11/18/2015,0.12,0.5,0.75
11/25/2015,0.12,0.5,0.75
12/02/2015,0.12,0.5,0.75
12/09/2015,0.13,0.5,0.75
12/16/2015,0.14,0.5,0.75
12/23/2015,0.37,0.5,0.75
12/30/2015,0.36,0.5,0.75
01/06/2016,0.27,0.5,0.75
01/13/2016,0.36,0.5,0.75
01/20/2016,0.36,0.5,0.75
01/27/2016,0.38,0.5,0.75
02/03/2016,0.34,0.5,0.75
02/10/2016,0.38,0.5,0.75
02/17/2016,0.38,0.5,0.75
02/24/2016,0.38,0.5,0.75
03/02/2016,0.36,0.5,0.75
03/09/2016,0.36,0.5,0.75
03/16/2016,0.36,0.5,0.75
03/23/2016,0.37,0.5,0.75
03/30/2016,0.37,0.5,0.75
04/06/2016,0.35,0.5,0.75
04/13/2016,0.37,0.5,0.75
04/20/2016,0.37,0.5,0.75
04/27/2016,0.37,0.5,0.75
05/04/2016,0.34,0.5,0.75
05/11/2016,0.37,0.5,0.75
05/18/2016,0.37,0.5,0.75
05/25/2016,0.37,0.5,0.75
06/01/2016,0.36,0.5,0.75
06/08/2016,0.37,0.5,0.75
06/15/2016,0.37,0.5,0.75
06/22/2016,0.38,0.5,0.75
06/29/2016,0.4,0.5,0.75
07/06/2016,0.39,0.5,0.75
07/13/2016,0.4,0.5,0.75
07/20/2016,0.4,0.5,0.75
07/27/2016,0.4,0.5,0.75
08/03/2016,0.36,0.5,0.75
08/10/2016,0.4,0.25,0.75
08/17/2016,0.4,0.25,0.75
08/24/2016,0.4,0.25,0.75
08/31/2016,0.39,0.25,0.75
