Date,Open,High,Low,Close
03/01/2022,4778,4797,4758,4797
04/01/2022,4805,4819,4774,4794
05/01/2022,4788,4798,4699,4701
06/01/2022,4693,4725,4671,4696
07/01/2022,4698,4708,4663,4677
10/01/2022,4655,4673,4582,4670
11/01/2022,4669,4714,4638,4713
12/01/2022,4729,4749,4707,4726
13/01/2022,4734,4744,4650,4659
14/01/2022,4638,4665,4615,4663
18/01/2022,4632,4632,4569,4577
19/01/2022,4588,4612,4530,4533
20/01/2022,4547,4602,4478,4483
21/01/2022,4471,4495,4395,4398
24/01/2022,4356,4417,4223,4410
25/01/2022,4367,4411,4287,4356
26/01/2022,4408,4453,4305,4350
27/01/2022,4381,4429,4310,4327
28/01/2022,4336,4433,4292,4432
31/01/2022,4432,4517,4414,4516
01/02/2022,4520,4550,4484,4547
02/02/2022,4566,4595,4544,4589
03/02/2022,4535,4543,4470,4477
04/02/2022,4483,4540,4452,4501
07/02/2022,4506,4522,4471,4484
08/02/2022,4480,4531,4465,4522
09/02/2022,4547,4590,4547,4587
10/02/2022,4553,4589,4484,4504
11/02/2022,4506,4526,4401,4419
14/02/2022,4413,4426,4365,4402
15/02/2022,4429,4473,4429,4471
16/02/2022,4456,4490,4430,4475
17/02/2022,4456,4456,4374,4380
18/02/2022,4385,4395,4327,4349
22/02/2022,4333,4362,4267,4305
23/02/2022,4325,4342,4222,4226
24/02/2022,4156,4295,4115,4289
25/02/2022,4298,4385,4287,4385
28/02/2022,4354,4389,4315,4374
01/03/2022,4363,4378,4280,4306
02/03/2022,4323,4401,4323,4387
03/03/2022,4401,4417,4346,4363
04/03/2022,4342,4342,4285,4329
07/03/2022,4327,4327,4200,4201
08/03/2022,4203,4277,4158,4171
09/03/2022,4223,4299,4223,4278
10/03/2022,4253,4268,4210,4260
11/03/2022,4280,4291,4200,4204
14/03/2022,4203,4248,4162,4173
15/03/2022,4189,4271,4188,4262
16/03/2022,4288,4359,4252,4358
17/03/2022,4345,4413,4336,4412
18/03/2022,4407,4465,4391,4463
21/03/2022,4462,4482,4424,4461
22/03/2022,4469,4522,4469,4512
23/03/2022,4493,4501,4456,4456
24/03/2022,4470,4521,4465,4520
25/03/2022,4523,4546,4501,4543
28/03/2022,4541,4576,4518,4576
29/03/2022,4603,4637,4590,4632
30/03/2022,4624,4628,4581,4602
31/03/2022,4599,4603,4530,4530
01/04/2022,4540,4549,4508,4546
04/04/2022,4548,4584,4539,4583
05/04/2022,4572,4593,4514,4525
06/04/2022,4494,4504,4450,4481
07/04/2022,4475,4521,4450,4500
08/04/2022,4494,4520,4475,4488
11/04/2022,4463,4464,4408,4413
12/04/2022,4438,4471,4381,4397
13/04/2022,4394,4454,4393,4447
14/04/2022,4449,4460,4391,4393
18/04/2022,4386,4410,4370,4392
19/04/2022,4391,4471,4391,4462
20/04/2022,4472,4488,4449,4459
21/04/2022,4489,4513,4384,4394
22/04/2022,4386,4386,4268,4272
25/04/2022,4255,4299,4201,4296
26/04/2022,4278,4278,4175,4175
27/04/2022,4187,4241,4163,4184
28/04/2022,4223,4308,4189,4288
29/04/2022,4254,4270,4124,4132
02/05/2022,4131,4170,4063,4155
03/05/2022,4160,4200,4147,4175
04/05/2022,4181,4308,4149,4300
05/05/2022,4270,4270,4106,4147
06/05/2022,4128,4158,4068,4123
09/05/2022,4081,4081,3975,3991
10/05/2022,4035,4069,3958,4001
11/05/2022,3990,4049,3929,3935
12/05/2022,3904,3965,3859,3930
13/05/2022,3964,4039,3964,4024
16/05/2022,4013,4046,3984,4008
17/05/2022,4052,4091,4034,4089
18/05/2022,4052,4052,3912,3924
19/05/2022,3899,3946,3877,3901
20/05/2022,3928,3943,3810,3901
23/05/2022,3919,3982,3909,3974
24/05/2022,3943,3956,3875,3941
25/05/2022,3930,3999,3925,3979
26/05/2022,3985,4075,3985,4058
27/05/2022,4077,4158,4077,4158
31/05/2022,4151,4168,4105,4132
01/06/2022,4150,4167,4074,4101
02/06/2022,4095,4178,4074,4177
03/06/2022,4138,4143,4099,4109
06/06/2022,4135,4169,4109,4121
07/06/2022,4096,4165,4080,4161
08/06/2022,4147,4160,4107,4116
09/06/2022,4102,4119,4017,4018
10/06/2022,3974,3974,3900,3901
13/06/2022,3838,3838,3734,3750
14/06/2022,3764,3778,3706,3735
15/06/2022,3764,3838,3722,3790
16/06/2022,3728,3728,3640,3667
17/06/2022,3666,3708,3637,3675
21/06/2022,3715,3780,3715,3765
22/06/2022,3734,3802,3718,3760
23/06/2022,3775,3803,3744,3796
24/06/2022,3822,3914,3822,3912
27/06/2022,3921,3928,3890,3900
28/06/2022,3913,3946,3820,3822
29/06/2022,3825,3836,3799,3819
30/06/2022,3786,3819,3739,3785
01/07/2022,3781,3830,3752,3825
05/07/2022,3793,3832,3742,3831
06/07/2022,3832,3871,3809,3845
07/07/2022,3859,3911,3859,3903
08/07/2022,3888,3918,3869,3899
11/07/2022,3881,3881,3847,3854
12/07/2022,3852,3873,3802,3819
13/07/2022,3780,3829,3759,3802
14/07/2022,3764,3796,3722,3790
15/07/2022,3818,3864,3817,3863
18/07/2022,3884,3902,3819,3831
19/07/2022,3861,3940,3861,3937
20/07/2022,3935,3974,3922,3960
21/07/2022,3955,3999,3928,3999
22/07/2022,3998,4012,3939,3962
25/07/2022,3966,3975,3943,3967
26/07/2022,3953,3953,3911,3921
