Date,Open,High,Low,Close
01/06/2022,4150,4167,4074,4101
02/06/2022,4095,4178,4074,4177
03/06/2022,4138,4143,4099,4109
06/06/2022,4135,4169,4109,4121
07/06/2022,4096,4165,4080,4161
08/06/2022,4147,4160,4107,4116
09/06/2022,4102,4119,4017,4018
10/06/2022,3974,3974,3900,3901
13/06/2022,3838,3838,3734,3750
14/06/2022,3764,3778,3706,3735
15/06/2022,3764,3838,3722,3790
16/06/2022,3728,3728,3640,3667
17/06/2022,3666,3708,3637,3675
21/06/2022,3715,3780,3715,3765
22/06/2022,3734,3802,3718,3760
23/06/2022,3775,3803,3744,3796
24/06/2022,3822,3914,3822,3912
27/06/2022,3921,3928,3890,3900
28/06/2022,3913,3946,3820,3822
29/06/2022,3825,3836,3799,3819
30/06/2022,3786,3819,3739,3785
01/07/2022,3781,3830,3752,3825
05/07/2022,3793,3832,3742,3831
06/07/2022,3832,3871,3809,3845
07/07/2022,3859,3911,3859,3903
08/07/2022,3888,3918,3869,3899
11/07/2022,3881,3881,3847,3854
12/07/2022,3852,3873,3802,3819
13/07/2022,3780,3829,3759,3802
14/07/2022,3764,3796,3722,3790
15/07/2022,3818,3864,3817,3863
18/07/2022,3884,3902,3819,3831
19/07/2022,3861,3940,3861,3937
20/07/2022,3935,3974,3922,3960
21/07/2022,3955,3999,3928,3999
22/07/2022,3998,4012,3939,3962
25/07/2022,3966,3975,3943,3967
26/07/2022,3953,3953,3911,3921
27/07/2022,3951,4040,3951,4024
28/07/2022,4026,4079,3993,4072
29/07/2022,4087,4140,4079,4130
01/08/2022,4112,4145,4096,4119
02/08/2022,4104,4140,4080,4091
03/08/2022,4108,4168,4108,4155
04/08/2022,4155,4161,4135,4152
05/08/2022,4116,4152,4107,4145
08/08/2022,4156,4187,4129,4140
09/08/2022,4133,4137,4112,4122
10/08/2022,4181,4211,4177,4210
11/08/2022,4227,4258,4201,4207
12/08/2022,4225,4280,4220,4280
15/08/2022,4269,4302,4257,4297
16/08/2022,4290,4325,4278,4305
17/08/2022,4280,4302,4253,4274
18/08/2022,4273,4293,4262,4284
19/08/2022,4266,4266,4219,4228
22/08/2022,4195,4195,4130,4138
23/08/2022,4133,4160,4124,4129
24/08/2022,4127,4157,4120,4141
25/08/2022,4153,4201,4148,4199
26/08/2022,4199,4203,4058,4058
29/08/2022,4035,4063,4017,4031
30/08/2022,4041,4045,3965,3986
31/08/2022,4001,4015,3955,3955
01/09/2022,3937,3970,3904,3967
02/09/2022,3995,4018,3906,3924
06/09/2022,3931,3943,3887,3908
07/09/2022,3909,3988,3906,3980
08/09/2022,3960,4010,3945,4006
09/09/2022,4023,4077,4023,4067
12/09/2022,4084,4119,4084,4110
13/09/2022,4037,4037,3921,3933
14/09/2022,3941,3962,3912,3946
15/09/2022,3932,3959,3888,3901
16/09/2022,3881,3881,3837,3873
19/09/2022,3850,3900,3838,3900
20/09/2022,3875,3876,3828,3856
21/09/2022,3871,3907,3789,3790
22/09/2022,3782,3791,3749,3758
23/09/2022,3727,3727,3647,3693
26/09/2022,3683,3716,3645,3655
27/09/2022,3686,3718,3623,3647
28/09/2022,3652,3737,3641,3719
29/09/2022,3687,3687,3610,3640
30/09/2022,3633,3671,3584,3586
03/10/2022,3610,3698,3605,3678
04/10/2022,3726,3792,3726,3791
05/10/2022,3753,3807,3723,3783
06/10/2022,3772,3798,3739,3745
07/10/2022,3707,3707,3621,3640
10/10/2022,3648,3652,3588,3612
11/10/2022,3596,3641,3568,3589
12/10/2022,3591,3608,3574,3577
13/10/2022,3520,3685,3492,3670
14/10/2022,3690,3712,3580,3583
17/10/2022,3639,3690,3639,3678
18/10/2022,3746,3763,3687,3720
19/10/2022,3703,3729,3667,3695
20/10/2022,3689,3736,3656,3666
21/10/2022,3657,3758,3647,3753
24/10/2022,3762,3811,3742,3797
25/10/2022,3799,3863,3799,3859
26/10/2022,3826,3886,3824,3831
27/10/2022,3835,3860,3804,3807
28/10/2022,3808,3905,3808,3901
31/10/2022,3882,3894,3863,3872
01/11/2022,3902,3912,3844,3856
02/11/2022,3853,3894,3759,3760
03/11/2022,3733,3751,3698,3720
04/11/2022,3767,3796,3709,3771
07/11/2022,3781,3814,3765,3807
08/11/2022,3817,3859,3786,3828
09/11/2022,3811,3818,3744,3749
10/11/2022,3860,3958,3860,3956
11/11/2022,3964,4001,3945,3993
14/11/2022,3978,4009,3956,3957
15/11/2022,4006,4029,3953,3992
16/11/2022,3977,3983,3954,3959
17/11/2022,3919,3954,3907,3947
18/11/2022,3966,3980,3936,3965
21/11/2022,3956,3962,3933,3950
22/11/2022,3966,4006,3957,4004
23/11/2022,4000,4034,3999,4027
25/11/2022,4023,4034,4021,4026
28/11/2022,4005,4012,3956,3964
29/11/2022,3964,3977,3938,3958
30/11/2022,3957,4080,3939,4080
01/12/2022,4087,4101,4051,4077
02/12/2022,4040,4080,4027,4072
05/12/2022,4052,4052,3984,3999
06/12/2022,3997,4002,3918,3941
07/12/2022,3933,3958,3923,3934
08/12/2022,3948,3974,3936,3964
09/12/2022,3954,3977,3933,3934
12/12/2022,3939,3991,3935,3991
13/12/2022,4069,4101,3993,4020
14/12/2022,4016,4054,3966,3995
15/12/2022,3958,3958,3879,3896
16/12/2022,3891,3891,3828,3852
19/12/2022,3854,3855,3800,3818
20/12/2022,3810,3838,3796,3822
21/12/2022,3839,3890,3839,3878
22/12/2022,3853,3853,3764,3822
23/12/2022,3815,3846,3797,3845
27/12/2022,3843,3847,3813,3829
28/12/2022,3830,3848,3781,3783
29/12/2022,3805,3858,3805,3849
30/12/2022,3829,3840,3800,3840
