Security,date,Security Weekly Return (%)
DXY,27/03/2000,0.74
DXY,04/12/2000,-0.57
DXY,08/10/2001,1.02
DXY,11/03/2002,-0.62
DXY,18/11/2002,0.93
DXY,16/12/2002,-0.4
DXY,25/08/2003,-0.92
DXY,29/12/2003,-0.87
DXY,07/06/2004,1.81
DXY,06/06/2005,0.78
DXY,26/09/2005,0.16
DXY,20/03/2006,1.12
DXY,06/11/2006,-0.76
DXY,27/11/2006,-1.04
DXY,14/05/2007,0.12
DXY,04/06/2007,0.43
DXY,27/08/2007,0.11
DXY,15/10/2007,-1.02
DXY,07/01/2008,-0.09
DXY,07/04/2008,-0.24
DXY,02/06/2008,-0.66
DXY,09/06/2008,2.57
DXY,01/12/2008,0.8
DXY,12/01/2009,2.11
DXY,19/10/2009,-0.13
DXY,16/11/2009,0.79
DXY,04/01/2010,-0.59
DXY,23/08/2010,-0.12
DXY,31/01/2011,-0.34
DXY,06/06/2011,1.55
DXY,05/09/2011,3.03
DXY,09/04/2012,-0.03
DXY,27/08/2012,-0.39
DXY,15/10/2012,-0.09
DXY,19/11/2012,-1.2
DXY,25/02/2013,0.85
DXY,06/05/2013,1.41
DXY,18/11/2013,0.17
DXY,14/04/2014,0.26
DXY,30/06/2014,0.25
DXY,18/08/2014,1.13
DXY,18/05/2015,2.98
DXY,21/09/2015,1
DXY,30/11/2015,-1.73
DXY,28/03/2016,-1.72
DXY,22/08/2016,1.13
DXY,16/01/2017,-0.9
DXY,25/09/2017,0.82
DXY,02/04/2018,0.16
DXY,20/08/2018,-1.02
DXY,26/11/2018,0.35
DXY,04/03/2019,1.07
DXY,24/06/2019,-0.05
DXY,19/08/2019,-0.54
DXY,06/04/2020,-1.18
DXY,11/05/2020,0.73
DXY,24/08/2020,-0.89
DXY,05/10/2020,-0.8
DXY,23/08/2021,-0.82
DXY,21/03/2022,0.58
DXY,22/08/2022,0.65
DXY,28/11/2022,-0.1
US10Y,27/03/2000,0
US10Y,04/12/2000,-0.10
US10Y,08/10/2001,-0.18
US10Y,11/03/2002,0.15
US10Y,18/11/2002,-0.24
US10Y,16/12/2002,0.03
US10Y,25/08/2003,0.10
US10Y,29/12/2003,-0.06
US10Y,07/06/2004,0.12
US10Y,06/06/2005,-0.17
US10Y,26/09/2005,0.07
US10Y,20/03/2006,0.11
US10Y,06/11/2006,-0.01
US10Y,27/11/2006,-0.02
US10Y,14/05/2007,0.02
US10Y,04/06/2007,0.05
US10Y,27/08/2007,-0.06
US10Y,15/10/2007,0.01
US10Y,07/01/2008,-0.17
US10Y,07/04/2008,-0.08
US10Y,02/06/2008,0.12
US10Y,09/06/2008,-0.01
US10Y,01/12/2008,-0.26
US10Y,12/01/2009,-0.16
US10Y,19/10/2009,0.40
US10Y,16/11/2009,0.00
US10Y,04/01/2010,0.12
US10Y,23/08/2010,-0.32
US10Y,31/01/2011,0.30
US10Y,06/06/2011,-0.11
US10Y,05/09/2011,-0.29
US10Y,09/04/2012,0.01
US10Y,27/08/2012,-0.22
US10Y,15/10/2012,0.00
US10Y,19/11/2012,-0.07
US10Y,25/02/2013,0.24
US10Y,06/05/2013,-0.13
US10Y,18/11/2013,0.58
US10Y,14/04/2014,-0.02
US10Y,30/06/2014,-0.04
US10Y,18/08/2014,-0.06
US10Y,18/05/2015,-0.07
US10Y,21/09/2015,0.00
US10Y,30/11/2015,0.00
US10Y,28/03/2016,-0.14
US10Y,22/08/2016,-0.18
US10Y,16/01/2017,0.53
US10Y,25/09/2017,-0.05
US10Y,02/04/2018,0.22
US10Y,20/08/2018,0.04
US10Y,26/11/2018,0.07
US10Y,04/03/2019,-0.12
US10Y,24/06/2019,-0.25
US10Y,19/08/2019,-0.22
US10Y,06/04/2020,-0.59
US10Y,11/05/2020,0.06
US10Y,24/08/2020,-0.04
US10Y,05/10/2020,0.07
US10Y,23/08/2021,0.79
US10Y,21/03/2022,0.75
US10Y,22/08/2022,0.33
US10Y,28/11/2022,0.27
