date,Open,High,Low,Close,Percentage Return
01/01/1980,85.32,85.32,84.790001,84.790001,0.00
08/01/1980,85.07,85.349998,85.019997,85.230003,0.52
15/01/1980,85.639999,85.699997,85.400002,85.699997,0.55
22/01/1980,85.800003,86.099998,85.559998,86.099998,0.47
29/01/1980,86.019997,86.139999,85.959999,86.050003,-0.06
05/02/1980,86.019997,86.019997,85.620003,85.849998,-0.23
12/02/1980,85.769997,86.099998,85.769997,86.099998,0.29
19/02/1980,86.510002,87.050003,86.410004,87.050003,1.10
26/02/1980,87.080002,87.849998,86.900002,87.849998,0.92
04/03/1980,88.080002,88.889999,87.989998,88.889999,1.18
11/03/1980,88.93,91.269997,88.800003,91.269997,2.68
18/03/1980,91.349998,91.610001,90.839996,91.610001,0.37
25/03/1980,91.839996,93.580002,91.75,93.580002,2.15
01/04/1980,94.220001,94.879997,94.07,94.879997,1.39
08/04/1980,93.459999,93.459999,91.019997,91.019997,-4.07
15/04/1980,91.809998,91.809998,90.150002,90.150002,-0.96
22/04/1980,90.550003,90.550003,88.040001,88.040001,-2.34
29/04/1980,88.010002,88.900002,87.839996,87.839996,-0.23
06/05/1980,87.410004,88.010002,87.080002,87.080002,-0.87
13/05/1980,87.230003,87.389999,86.919998,87.389999,0.36
20/05/1980,87.239998,87.239998,85.779999,85.779999,-1.84
27/05/1980,85.150002,86.089996,85.150002,86.089996,0.36
03/06/1980,86.07,86.07,84.989998,84.989998,-1.28
10/06/1980,85.019997,85.190002,84.75,85.120003,0.15
17/06/1980,85.160004,85.25,85.019997,85.139999,0.02
24/06/1980,85.269997,85.32,85.129997,85.199997,0.07
01/07/1980,85.099998,85.099998,84.190002,84.190002,-1.19
08/07/1980,84.269997,84.389999,84.120003,84.389999,0.24
15/07/1980,84.620003,84.620003,84.169998,84.43,0.05
22/07/1980,84.309998,84.730003,84.300003,84.730003,0.36
29/07/1980,85.290001,86.489998,85.290001,86.129997,1.65
05/08/1980,85.809998,85.949997,85.449997,85.949997,-0.21
12/08/1980,85.720001,86.43,85.720001,86.43,0.56
19/08/1980,86.470001,86.860001,86.309998,86.550003,0.14
26/08/1980,86.25,86.25,85.690002,85.849998,-0.81
02/09/1980,85.190002,85.410004,85.150002,85.199997,-0.76
09/09/1980,85.330002,85.330002,85.080002,85.239998,0.05
16/09/1980,85.260002,86.019997,85.209999,86.019997,0.92
23/09/1980,86.290001,86.290001,85.660004,86.139999,0.14
30/09/1980,86.019997,86.019997,85.43,85.43,-0.82
07/10/1980,85.68,85.68,85.589996,85.589996,0.19
14/10/1980,85.730003,86.980003,85.730003,86.980003,1.62
21/10/1980,86.919998,87.800003,86.919998,87.800003,0.94
28/10/1980,88.209999,88.639999,87.760002,88.639999,0.96
04/11/1980,89.489998,90.120003,88.489998,88.489998,-0.17
11/11/1980,88.709999,89.75,88.43,89.75,1.42
18/11/1980,89.410004,89.660004,88.980003,89.660004,-0.10
25/11/1980,89.449997,90.550003,89.449997,90.550003,0.99
02/12/1980,90.660004,90.839996,90.239998,90.669998,0.13
09/12/1980,91.349998,92.57,91.349998,91.760002,1.20
16/12/1980,92.660004,92.660004,90.599998,90.599998,-1.26
23/12/1980,90.18,90.32,90.029999,90.32,-0.31
30/12/1980,89.860001,90.510002,89.139999,89.139999,-1.31
06/01/1981,88.949997,90.830002,88.949997,90.830002,1.90
13/01/1981,91.309998,91.449997,91.010002,91.360001,0.58
20/01/1981,91.040001,92.580002,90.629997,92.580002,1.34
27/01/1981,93.120003,95.239998,93.120003,94.82,2.42
03/02/1981,95.290001,95.589996,94.589996,95.389999,0.60
10/02/1981,95.709999,98.18,95.709999,98.18,2.92
17/02/1981,97.839996,97.839996,94.949997,95.779999,-2.44
24/02/1981,96.129997,97.949997,96.019997,97.949997,2.27
03/03/1981,97.68,97.68,96.339996,96.339996,-1.64
10/03/1981,96.139999,96.580002,95.68,95.68,-0.69
17/03/1981,95.470001,95.690002,94.239998,95.690002,0.01
24/03/1981,95.459999,97.129997,95.459999,96.279999,0.62
