DATE,US 10-Year Yields,Federal Funds Rate,30-Year Fixed Mortgage Rate,10-2 Year Treasury Spread
01/01/1977,7.213333333,4.610967742,8.7225,1.313809524
01/02/1977,7.391052632,4.683214286,8.67,1.302631579
01/03/1977,7.46,4.69,8.6875,1.373478261
01/04/1977,7.3705,4.727333333,8.752,1.407
01/05/1977,7.456666667,5.35,8.8275,1.201904762
01/06/1977,7.275454545,5.388666667,8.8575,1.148181818
01/07/1977,7.33,5.419354839,8.942,1.055263158
01/08/1977,7.396521739,5.901935484,8.94,0.785217391
01/09/1977,7.343809524,6.138333333,8.896,0.62952381
01/10/1977,7.5235,6.465483871,8.9225,0.4175
01/11/1977,7.577368421,6.507666667,8.9225,0.434736842
01/12/1977,7.685238095,6.560645161,8.96,0.508571429
01/01/1978,7.956190476,6.703548387,9.015,0.47047619
01/02/1978,8.033333333,6.784285714,9.145,0.468333333
01/03/1978,8.035909091,6.793225806,9.202,0.460909091
01/04/1978,8.154,6.888666667,9.355,0.4105
01/05/1978,8.345714286,7.36,9.5725,0.33952381
01/06/1978,8.462272727,7.596666667,9.708,0.222727273
01/07/1978,8.64,7.810645161,9.74,0.1505
01/08/1978,8.410869565,8.035806452,9.785,0.044347826
01/09/1978,8.4165,8.449333333,9.756,-0.149
01/10/1978,8.642380952,8.955483871,9.8575,-0.211428571
01/11/1978,8.805,9.755,10.1075,-0.6195
01/12/1978,9.0065,10.02870968,10.346,-0.709
01/01/1979,9.099545455,10.07096774,10.39,-0.760454545
01/02/1979,9.098333333,10.05857143,10.4075,-0.618333333
01/03/1979,9.117272727,10.08870968,10.426,-0.672272727
01/04/1979,9.182,10.01033333,10.4975,-0.5965
01/05/1979,9.252380952,10.24193548,10.69,-0.531428571
01/06/1979,8.913809524,10.29166667,11.036,-0.306666667
01/07/1979,8.95,10.4716129,11.0925,-0.187619048
01/08/1979,9.029565217,10.93612903,11.094,-0.429130435
01/09/1979,9.334736842,11.42833333,11.3,-0.721578947
01/10/1979,10.29909091,13.76870968,11.6375,-1.190454545
01/11/1979,10.65315789,13.18033333,12.83,-1.155263158
01/12/1979,10.386,13.77870968,12.9,-1.0045
01/01/1980,10.80227273,13.81677419,12.8775,-0.695909091
01/02/1980,12.41473684,14.1262069,13.04,-1.003684211
01/03/1980,12.74904762,17.19225806,15.2825,-2.135714286
01/04/1980,11.47333333,17.60766667,16.325,-1.028571429
01/05/1980,10.18142857,10.98322581,14.262,0.731428571
01/06/1980,9.778095238,9.472,12.71,1.05
01/07/1980,10.24772727,9.025806452,12.1925,1.218181818
01/08/1980,11.10190476,9.605483871,12.56,0.574285714
01/09/1980,11.50857143,10.872,13.1975,-0.066190476
01/10/1980,11.75136364,12.81354839,13.792,-0.336818182
01/11/1980,12.68470588,15.84866667,14.205,-0.829411765
01/12/1980,12.84409091,18.89612903,14.79,-1.232727273
01/01/1981,12.56857143,19.08451613,14.904,-0.693809524
01/02/1981,13.19444444,15.93428571,15.1325,-0.724444444
01/03/1981,13.11590909,14.70387097,15.4,-0.452727273
01/04/1981,13.67952381,15.719,15.58,-0.471904762
01/05/1981,14.0995,18.51774194,16.402,-1.3575
01/06/1981,13.47227273,19.09966667,16.695,-1.033636364
01/07/1981,14.28090909,19.03580645,16.832,-1.073181818
01/08/1981,14.93714286,17.81774194,17.285,-1.347619048
