State,Voter Turnout (%)
Iowa,9.1
New Hampshire,42.4
Nevada,4.9
South Carolina,13.9
Alabama,32.4
Arkansas,20.6
California,37.7
Colorado,42.6
Maine,35.9
Massachusetts,33.7
Minnesota,21.7
North Carolina,28.1
Oklahoma,21.2
Tennessee,17.9
Texas,21
Utah,26.2
Vermont,39.4
Virginia,21.4
Idaho,18
Michigan,31
Mississippi,23.7
Missouri,21.2
North Dakota,2.6
Washington,41.8
Arizona,12
Florida,19.5
Illinois,25.3
Ohio ,20.8
Georgia ,32.2
Alaska ,3.8
Hawaii,3.5
Louisiana,14
Wyoming,3.6
Wisconsin,35.6
Connecticut ,12.9
Delaware ,17.5
Maryland ,33.1
New York ,5.5
Pennsylvania ,28.1
Rhode Island ,15.7
Kansas,7.1
Indiana ,21.8
Nebraska,35.8
West Virginia ,32.2
Kentucky ,30.3
Oregon,42
District of Columbia,21.6
Montana,45.7
New Jersey ,23.8
New Mexico,27.8
South Dakota,23.9
