date,US10Y Percent Change,DXY Return (%)
27/03/2000,0.16,0.75
05/12/2000,-1.81,0.44
11/10/2001,1.74,0.61
13/03/2002,-0.75,-0.10
03/05/2002,-0.97,-1.08
19/11/2002,-0.75,0.50
19/12/2002,-2.46,-0.17
29/08/2003,0.68,-0.61
08/06/2004,0.00,0.33
06/06/2005,-0.50,-0.45
27/09/2005,0.00,0.55
20/03/2006,-0.43,0.07
10/11/2006,-0.65,-0.08
28/11/2006,-0.66,-0.36
17/05/2007,1.06,0.19
05/06/2007,1.01,-0.18
31/08/2007,0.67,0.09
15/10/2007,-0.21,-0.15
10/01/2008,2.36,-0.62
10/04/2008,1.72,0.33
03/06/2008,-1.51,0.45
09/06/2008,2.03,0.77
01/12/2008,-7.17,0.34
13/01/2009,-0.43,1.29
23/10/2009,2.03,0.53
16/11/2009,-2.92,-0.21
27/08/2010,6.40,-0.02
03/02/2011,1.70,0.84
07/06/2011,0.00,-0.57
08/09/2011,-2.44,0.98
13/04/2012,-2.88,0.67
31/08/2012,-3.68,-0.53
20/11/2012,3.11,-0.05
01/03/2013,-1.59,0.48
10/05/2013,4.97,1.66
19/11/2013,1.50,0.26
16/04/2014,0.38,0.04
02/07/2014,2.33,0.19
22/08/2014,-0.41,0.22
22/05/2015,0.91,0.64
24/09/2015,-1.39,-0.27
02/12/2015,1.40,0.16
29/03/2016,-4.23,-0.82
26/08/2016,2.53,0.91
19/01/2017,2.07,-0.19
26/09/2017,0.90,0.40
06/04/2018,-2.12,-0.30
24/08/2018,0.00,-0.51
28/11/2018,0.00,-0.60
08/03/2019,-0.76,-0.25
25/06/2019,-0.99,0.17
23/08/2019,-6.17,-0.56
09/04/2020,-5.19,-0.61
13/05/2020,-7.25,0.23
27/08/2020,7.25,0.17
06/10/2020,-2.56,0.42
27/08/2021,-2.24,-0.37
21/03/2022,8.41,0.26
26/08/2022,0.33,0.30
30/11/2022,-1.87,-0.72
