date,US10Y Percent Change,DXY Return (%)
02/02/2000,-0.30,-0.17
21/03/2000,-0.81,0.63
16/05/2000,-0.62,0.39
03/01/2001,4.47,1.46
31/01/2001,-0.95,-0.43
20/03/2001,-0.83,-0.86
18/04/2001,-1.34,-0.26
15/05/2001,0.73,-0.35
27/06/2001,0.38,0.25
21/08/2001,-0.81,-0.19
17/09/2001,1.31,0.03
02/10/2001,-0.44,-0.14
06/11/2001,-0.23,-0.04
11/12/2001,-0.77,-0.03
06/11/2002,-0.24,-0.61
25/06/2003,2.74,-0.35
30/06/2004,-1.70,-0.60
10/08/2004,0.93,0.41
21/09/2004,-0.49,-0.94
10/11/2004,0.71,0.25
14/12/2004,-0.48,0.21
02/02/2005,0.00,0.05
22/03/2005,2.21,0.46
03/05/2005,0.00,-0.08
30/06/2005,-1.25,0.01
09/08/2005,-0.23,-0.11
20/09/2005,0.24,0.11
01/11/2005,0.22,-0.04
13/12/2005,-0.44,0.06
31/01/2006,-0.22,-0.53
28/03/2006,1.91,0.24
10/05/2006,0.00,-0.28
29/06/2006,-0.57,-0.96
18/09/2007,0.45,-0.68
31/10/2007,1.82,-0.35
11/12/2007,-4.10,0.24
22/01/2008,0.00,-0.99
30/01/2008,2.44,-0.62
18/03/2008,4.19,0.08
30/04/2008,-2.08,-0.48
08/10/2008,6.29,-0.36
29/10/2008,1.03,-1.15
16/12/2008,-6.32,-1.71
17/12/2015,-2.61,0.72
15/12/2016,2.36,0.86
16/03/2017,0.80,-0.29
15/06/2017,0.47,0.52
14/12/2017,-0.42,0.09
22/03/2018,-2.08,0.23
14/06/2018,-1.34,1.36
27/09/2018,0.00,0.79
20/12/2018,0.72,-0.73
01/08/2019,-5.94,-0.20
19/09/2019,-0.56,-0.30
31/10/2019,-5.06,-0.09
03/03/2020,-7.27,-0.42
16/03/2020,-22.34,-0.39
17/03/2022,0.46,-0.50
05/05/2022,4.10,1.04
16/06/2022,-1.50,-1.21
27/07/2022,-1.07,-0.63
21/09/2022,-1.68,0.44
02/11/2022,0.74,-0.17
14/12/2022,-0.57,-0.29
