date,Percent Change,Security 
01/04/2000,0.85,US10Y
01/11/2000,1.98,US10Y
01/18/2000,1.63,US10Y
01/25/2000,0.63,US10Y
02/01/2000,-1.10,US10Y
02/08/2000,-1.44,US10Y
02/15/2000,0.40,US10Y
02/22/2000,-1.49,US10Y
02/29/2000,-1.65,US10Y
03/07/2000,0.13,US10Y
03/14/2000,-0.63,US10Y
03/21/2000,-2.30,US10Y
03/28/2000,-0.87,US10Y
04/04/2000,-2.01,US10Y
04/11/2000,-2.62,US10Y
04/18/2000,1.50,US10Y
04/25/2000,1.11,US10Y
05/02/2000,3.52,US10Y
05/09/2000,4.04,US10Y
05/16/2000,-0.49,US10Y
05/23/2000,0.40,US10Y
05/30/2000,-1.47,US10Y
06/06/2000,-3.32,US10Y
06/13/2000,-1.00,US10Y
06/20/2000,-1.50,US10Y
06/27/2000,1.66,US10Y
07/04/2000,-1.32,US10Y
07/11/2000,-0.25,US10Y
07/18/2000,1.26,US10Y
07/25/2000,-0.88,US10Y
08/01/2000,-0.40,US10Y
08/08/2000,-1.33,US10Y
08/15/2000,-2.66,US10Y
08/22/2000,0.14,US10Y
08/29/2000,-0.72,US10Y
09/05/2000,-0.50,US10Y
09/12/2000,0.43,US10Y
09/19/2000,1.22,US10Y
09/26/2000,0.62,US10Y
10/03/2000,-0.48,US10Y
10/10/2000,0.30,US10Y
10/17/2000,-2.01,US10Y
10/24/2000,-1.64,US10Y
10/31/2000,1.45,US10Y
11/07/2000,1.61,US10Y
11/14/2000,-0.03,US10Y
11/21/2000,-2.00,US10Y
11/28/2000,-1.26,US10Y
12/05/2000,-2.10,US10Y
12/12/2000,-2.87,US10Y
12/19/2000,-2.40,US10Y
12/26/2000,-3.33,US10Y
01/02/2001,0.55,US10Y
01/09/2001,-1.30,US10Y
01/16/2001,3.57,US10Y
01/23/2001,0.53,US10Y
01/30/2001,1.61,US10Y
02/06/2001,-2.30,US10Y
02/13/2001,-1.97,US10Y
02/20/2001,1.28,US10Y
02/27/2001,-1.07,US10Y
03/06/2001,-2.72,US10Y
