date,US10Y Percent Change
07/01/1980,1.70345
14/01/1980,0.09908
21/01/1980,1.41403
28/01/1980,2.11935
04/02/1980,2.29383
11/02/1980,5.30343
18/02/1980,1.48724
25/02/1980,8.6428
03/03/1980,0.45984
10/03/1980,-1.49527
17/03/1980,-2.98947
24/03/1980,1.05381
31/03/1980,1.84863
07/04/1980,-3.09882
14/04/1980,-4.35862
21/04/1980,-7.01373
28/04/1980,-2.34023
05/05/1980,-3.37327
12/05/1980,-3.58642
19/05/1980,1.85991
26/05/1980,-2.26787
02/06/1980,1.0882
09/06/1980,-2.10381
16/06/1980,-3.51476
23/06/1980,-0.6453
30/06/1980,3.64551
07/07/1980,2.41055
14/07/1980,0.76487
21/07/1980,-0.52889
28/07/1980,1.12249
04/08/1980,3.58325
11/08/1980,1.72965
18/08/1980,1.20126
25/08/1980,2.79401
01/09/1980,3.32652
08/09/1980,-3.61487
15/09/1980,1.03461
22/09/1980,1.76554
29/09/1980,3.19223
06/10/1980,-2.11836
13/10/1980,-1.7305
20/10/1980,0.31025
27/10/1980,3.27583
03/11/1980,4.94348
10/11/1980,2.67283
17/11/1980,-0.76336
24/11/1980,-0.1499
01/12/1980,0.80199
08/12/1980,1.1797
15/12/1980,2.696
22/12/1980,-2.24804
29/12/1980,-5.03936
05/01/1981,0.34539
12/01/1981,0.19842
19/01/1981,1.60039
26/01/1981,1.3206
02/02/1981,0.25126
09/02/1981,1.95802
16/02/1981,3.29288
23/02/1981,-2.11701
02/03/1981,1.83863
09/03/1981,-0.62668
16/03/1981,-2.49249
23/03/1981,-1.70927
30/03/1981,4.07332
06/04/1981,0.34623
13/04/1981,1.62016
20/04/1981,1.12194
27/04/1981,0.89051
04/05/1981,2.17045
11/05/1981,2.18099
18/05/1981,-1.51074
25/05/1981,-1.80833
01/06/1981,-2.68721
08/06/1981,-0.50074
15/06/1981,-1.65779
22/06/1981,0.51174
29/06/1981,2.26116
06/07/1981,1.88168
13/07/1981,0.89831
20/07/1981,1.15385
27/07/1981,2.30953
03/08/1981,1.1287
10/08/1981,0.9936
17/08/1981,-1.469
24/08/1981,2.22952
31/08/1981,2.59566
07/09/1981,0.74335
14/09/1981,-0.75081
21/09/1981,-2.3999
28/09/1981,2.76627
05/10/1981,1.36541
12/10/1981,-3.9288
19/10/1981,-0.5575
26/10/1981,3.00792
02/11/1981,-1.91631
09/11/1981,-7.46279
16/11/1981,-5.13465
23/11/1981,-0.3785
30/11/1981,-0.91185
07/12/1981,2.69939
14/12/1981,2.15054
21/12/1981,-0.39474
28/12/1981,3.075
04/01/1982,0.4984
11/01/1982,3.36521
18/01/1982,1.05552
25/01/1982,-0.24417
01/02/1982,-2.01251
08/02/1982,1.92895
15/02/1982,0.90765
22/02/1982,-3.63841
01/03/1982,-2.56231
08/03/1982,-1.85371
15/03/1982,1.46413
22/03/1982,-0.01443
29/03/1982,0.59172
05/04/1982,1.47776
12/04/1982,-0.73166
19/04/1982,-1.64145
26/04/1982,-0.79641
03/05/1982,0.94877
10/05/1982,-1.417
17/05/1982,-0.67468
24/05/1982,0.2215
31/05/1982,0.79932
07/06/1982,1.75041
14/06/1982,0.74702
21/06/1982,2.95166
28/06/1982,1.93906
05/07/1982,-1.57948
12/07/1982,-1.90164
19/07/1982,-2.25162
26/07/1982,-1.94356
02/08/1982,0.93966
09/08/1982,-0.45091
16/08/1982,-1.75336
23/08/1982,-7.1981
30/08/1982,0.81731
06/09/1982,0.61993
13/09/1982,-0.58452
20/09/1982,-0.30192
27/09/1982,-3.9847
04/10/1982,-2.70584
11/10/1982,-4.17591
