date,US10Y Percent Change,DXY Return (%)
03/27/2000,0.16,0.75
12/05/2000,-1.81,0.44
10/11/2001,1.74,0.61
03/13/2002,-0.75,-0.1
05/03/2002,-0.97,-1.08
11/19/2002,-0.75,0.5
12/19/2002,-2.46,-0.17
08/29/2003,0.68,-0.61
06/08/2004,0,0.33
06/06/2005,-0.5,-0.45
09/27/2005,0,0.55
03/20/2006,-0.43,0.07
11/10/2006,-0.65,-0.08
11/28/2006,-0.66,-0.36
05/17/2007,1.06,0.19
06/05/2007,1.01,-0.18
08/31/2007,0.67,0.09
10/15/2007,-0.21,-0.15
01/10/2008,2.36,-0.62
04/10/2008,1.72,0.33
06/03/2008,-1.51,0.45
06/09/2008,2.03,0.77
12/01/2008,-7.17,0.34
01/13/2009,-0.43,1.29
10/23/2009,2.03,0.53
11/16/2009,-2.92,-0.21
08/27/2010,6.4,-0.02
02/03/2011,1.7,0.84
06/07/2011,0,-0.57
09/08/2011,-2.44,0.98
04/13/2012,-2.88,0.67
08/31/2012,-3.68,-0.53
11/20/2012,3.11,-0.05
03/01/2013,-1.59,0.48
05/10/2013,4.97,1.66
11/19/2013,1.5,0.26
04/16/2014,0.38,0.04
07/02/2014,2.33,0.19
08/22/2014,-0.41,0.22
05/22/2015,0.91,0.64
09/24/2015,-1.39,-0.27
12/02/2015,1.4,0.16
03/29/2016,-4.23,-0.82
08/26/2016,2.53,0.91
01/19/2017,2.07,-0.19
09/26/2017,0.9,0.4
04/06/2018,-2.12,-0.3
08/24/2018,0,-0.51
11/28/2018,0,-0.6
03/08/2019,-0.76,-0.25
06/25/2019,-0.99,0.17
08/23/2019,-6.17,-0.56
04/09/2020,-5.19,-0.61
05/13/2020,-7.25,0.23
08/27/2020,7.25,0.17
10/06/2020,-2.56,0.42
08/27/2021,-2.24,-0.37
03/21/2022,8.41,0.26
08/26/2022,0.33,0.3
11/30/2022,-1.87,-0.72
